id_product;active;name;categories;price;id_tax_rules_group;wholesale_price;reference;supplier_reference;id_supplier;id_manufacturer;upc;ecotax;weight;quantity;description_short;description;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;date_add;show_price;online_only;condition;id_shop_default;
"16";"1";"0";"Петарды";"1232.390000";"0";"477.950000";"2170";"2170";"1";"4";"";"0.000000";"0.750000";"0";"";"";"Прочее Световое фейерверк-шоу "Волшебный фонарь" 2170 ОПТОМ";"";"У нас Вы можете купить Прочее Световое фейерверк-шоу "Волшебный фонарь" 2170 ОПТОМ по самым низким ценам!";"svetovoe-fejerverk-shou-volshebnyj-fonar";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"17";"1";"0";"Петарды";"178.920000";"0";"77.000000";"2402";"2402";"1";"4";"";"0.000000";"0.069444";"0";"";"";"Прочее Световая бенгальская свеча "Звёздная пыль" 2402 ОПТОМ";"";"У нас Вы можете купить Прочее Световая бенгальская свеча "Звёздная пыль" 2402 ОПТОМ по самым низким ценам!";"svetovaya-bengalskaya-svecha-zvyozdnaya-pyl";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"18";"1";"Светящаяся ракета "Дракон"";"Прочее";"769.720000";"0";"326.980000";"2406";"2406";"1";"4";"";"0.000000";"0.333333";"0";"";"";"Прочее Светящаяся ракета "Дракон" 2406 ОПТОМ";"";"У нас Вы можете купить Прочее Светящаяся ракета "Дракон" 2406 ОПТОМ по самым низким ценам!";"svetyashhayasya-raketa-drakon";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"19";"1";"Помповый бластер "Римская свеча"";"Прочее";"769.720000";"0";"288.040000";"2408";"2408";"1";"4";"";"0.000000";"0.500000";"0";"";"";"Прочее Помповый бластер "Римская свеча" 2408 ОПТОМ";"";"У нас Вы можете купить Прочее Помповый бластер "Римская свеча" 2408 ОПТОМ по самым низким ценам!";"pompovyj-blaster-rimskaya-svecha";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"20";"1";"Светящаяся ракета "Молния"";"Прочее";"308.090000";"0";"121.000000";"2410";"2410";"1";"4";"";"0.000000";"0.375000";"0";"";"";"Прочее Светящаяся ракета "Молния" 2410 ОПТОМ";"";"У нас Вы можете купить Прочее Светящаяся ракета "Молния" 2410 ОПТОМ по самым низким ценам!";"svetyashhayasya-raketa-molniya";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"21";"1";"Световой фейерверк - шоу "Весёлая карусель"";"Прочее";"461.620000";"0";"193.550000";"2412";"2412";"1";"4";"";"0.000000";"0.250000";"0";"";"";"Прочее Световой фейерверк - шоу "Весёлая карусель" 2412 ОПТОМ";"";"У нас Вы можете купить Прочее Световой фейерверк - шоу "Весёлая карусель" 2412 ОПТОМ по самым низким ценам!";"svetovoj-fejerverk-shou-vesyolaya-karusel";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"22";"1";"0";"Петарды";"461.620000";"0";"181.500000";"2415";"2415";"1";"4";"";"0.000000";"0.166667";"0";"";"";"Прочее Свистящие шары "Весёлый проныра" 2415 ОПТОМ";"";"У нас Вы можете купить Прочее Свистящие шары "Весёлый проныра" 2415 ОПТОМ по самым низким ценам!";"svistyashhie-shary-vesyolyj-pronyra";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"24";"1";"0";"Петарды";"1591.300000";"0";"549.450000";"2451";"2451";"1";"4";"";"0.000000";"0.750000";"0";"";"";"Прочее Шоу конусных фонтанов "Огненная фантазия" 2451 ОПТОМ";"";"У нас Вы можете купить Прочее Шоу конусных фонтанов "Огненная фантазия" 2451 ОПТОМ по самым низким ценам!";"shou-konusnykh-fontanov-ognennaya-fantaziya";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"70";"1";"0";"Петарды";"2880.000000";"0";"1584.000000";"DF701010048";"DF701010048";"1";"14";"";"0.000000";"3.000000";"0";"";"";"Батареи салютов Зимняя сказка (1,0" х 48) DF701010048 ОПТОМ";"";"У нас Вы можете купить Батареи салютов Зимняя сказка (1,0" х 48) DF701010048 ОПТОМ по самым низким ценам!";"zimnyaya-skazka-10-kh-48";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"71";"1";"0";"Петарды";"2000.000000";"0";"1100.000000";"DF701012020";"DF701012020";"1";"14";"";"0.000000";"1.833333";"0";"";"";"Батареи салютов Праздник жизни (1,2" х 20) DF701012020 ОПТОМ";"";"У нас Вы можете купить Батареи салютов Праздник жизни (1,2" х 20) DF701012020 ОПТОМ по самым низким ценам!";"prazdnik-zhizni-12-kh-20";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
