id_category;name;description;position;active;
"1";"Корень";"";"0";"1";
"2";"Главная";"";"0";"1";
"3";"Петарды";"Петарды являются одним из старейших видов пиротехнических изделий. Благодаря своему впечатляющему звуковому эффекту они пользуются большой популярностью на праздниках. Петарды оптом продаются на нашем сайте и быстро находят своих покупателей благодаря своей широкой известности и невысокой цене. Купить петарды оптом можно, подобрав в нашем ассортименте понравившиеся изделия по различным параметрам. В частности, в каталоге представлены популярные петарды корсар оптом.";"100";"1";
"39";"Фитильные";"";"101";"1";
"40";"Терочные";"";"102";"1";
"32";"С чекой";"";"103";"1";
"31";"Связки";"";"107";"1";
"33";"С эффектами";"";"108";"1";
"4";"Ракеты";"Ракеты станут отличным дополнением к празднику на любой вкус. В каталоге представлены ракеты оптом от различных производителей. Ракета имеет один, но мощный заряд, обеспечивающий яркий эффект на большой высоте. Купить ракеты оптом можно, исходя из различных параметров. Все представленные ракеты имеют высокое качество и надежность, поэтому оставят лишь приятные впечатления у покупателей.";"200";"1";
"38";"Наборы";"";"201";"1";
"34";"Со свистом";"";"202";"1";
"49";"Складные";"";"203";"1";
"5";"Вертушки";"Вертушки бывают разных типов: одни ярко и забавно крутятся на земле, другие взмывают в небо, производя необычный динамичный эффект рассыпающихся по спирали искр. Вертушки оптом станут отличной покупкой как для взрослого, так и для детского праздника. Но, конечно, важно, чтобы запускали пиротехнические изделия именно взрослые люди. Купить вертушки оптом – хорошая идея, чтобы позабавить своих гостей любого возраста.";"300";"1";
"35";"Наземные";"";"301";"1";
"36";"Летающие";"";"302";"1";
"41";"С салютом";"";"303";"1";
"6";"Фонтаны";"Пиротехнические фонтаны всегда завораживают взгляд и вызывают восхищение ярким и необычным эффектом. Фонтан оптом настольный можно использовать в помещении для украшения домашнего торжества. Фонтан оптом на улице станет «изюминкой» летней вечеринки или новогоднего праздника. Фонтаны оптом купить можно любого вида, высоты и эстетического исполнения, все зависит от пожеланий покупателя и самого торжества.";"400";"1";
"37";"Дымовые";"";"401";"1";
"42";"Конусные";"";"402";"1";
"43";"Фигурные";"";"403";"1";
"44";"Вращающиеся";"";"404";"1";
"45";"С салютом";"";"405";"1";
"106";"Настольные";"";"406";"1";
"7";"Римские свечи";"Римские свечи различаются по количеству залпов и представляют собой настоящий фейерверк, упакованный в одну трубку. Римские свечи оптом можно выбрать по наличию эффектов, их длительности, а также выбрать сразу связку свечей для настоящего праздничного салюта. Купить римские свечи на праздник – отличная идея, чтобы порадовать своих друзей и родных.";"500";"1";
"108";"По калибрам";"";"500";"1";
"55";"менее 0,7 дюйма";"";"501";"1";
"50";"0,7-0,9 дюйма";"";"502";"1";
"51";"1,0-1,4 дюйма";"";"503";"1";
"52";"более 1,4 дюйма";"";"504";"1";
"110";"Кол. залпов";"";"510";"1";
"111";"менее 8 залпов";"";"511";"1";
"112";"8-10 залпов";"";"512";"1";
"113";"более 10 залпов";"";"513";"1";
"46";"1 эффект";"";"520";"1";
"47";"Неск.эффектов";"";"530";"1";
"48";"Связки свечей";"";"540";"1";
