id_product;id_image;id_shop;cover;
"186";"89";"16";"1";
"186";"90";"16";"";
"223";"109";"16";"1";
"229";"114";"16";"1";
"329";"142";"16";"1";
"337";"147";"16";"1";
"351";"157";"16";"1";
"818";"561";"16";"1";
"818";"562";"16";"";
"818";"563";"16";"";
"818";"564";"16";"";
"967";"705";"16";"1";
"967";"706";"16";"";
"967";"707";"16";"";
"967";"708";"16";"";
"967";"709";"16";"";
"967";"710";"16";"";
"967";"711";"16";"";
"967";"712";"16";"";
"967";"713";"16";"";
"967";"714";"16";"";
"1275";"931";"16";"1";
"1488";"1074";"16";"1";
"16";"1157";"16";"1";
"17";"1158";"16";"1";
"18";"1159";"16";"1";
"19";"1160";"16";"1";
"20";"1161";"16";"1";
"21";"1162";"16";"1";
"22";"1163";"16";"1";
"24";"1164";"16";"1";
"70";"1165";"16";"1";
"70";"1166";"16";"";
"70";"1167";"16";"";
"71";"1168";"16";"1";
"71";"1169";"16";"";
"71";"1170";"16";"";
"72";"1171";"16";"1";
"72";"1172";"16";"";
"72";"1173";"16";"";
"73";"1174";"16";"1";
"73";"1175";"16";"";
"73";"1176";"16";"";
"78";"1177";"16";"1";
"78";"1178";"16";"";
"78";"1179";"16";"";
"92";"1180";"16";"1";
"111";"1181";"16";"1";
"111";"1182";"16";"";
"111";"1183";"16";"";
"115";"1184";"16";"1";
"116";"1185";"16";"1";
"119";"1186";"16";"1";
"120";"1187";"16";"1";
"122";"1189";"16";"1";
"123";"1190";"16";"1";
"123";"1191";"16";"";
"127";"1192";"16";"1";
"127";"1193";"16";"";
"130";"1194";"16";"1";
"131";"1195";"16";"1";
"133";"1196";"16";"1";
"134";"1197";"16";"1";
"134";"1198";"16";"";
"135";"1199";"16";"1";
"136";"1200";"16";"1";
"138";"1201";"16";"1";
"140";"1202";"16";"1";
"141";"1203";"16";"1";
"142";"1204";"16";"1";
"146";"1205";"16";"1";
"146";"1206";"16";"";
"146";"1207";"16";"";
"148";"1208";"16";"1";
"148";"1209";"16";"";
"149";"1210";"16";"1";
"149";"1211";"16";"";
"150";"1212";"16";"1";
"151";"1213";"16";"1";
"151";"1214";"16";"";
"151";"1215";"16";"";
"152";"1216";"16";"1";
"153";"1217";"16";"1";
"154";"1218";"16";"1";
