номерПоставщика;Производитель;шт;уп;бл;артикул;розничнаяЦена;закупочнаяЦена;Наименование;описание;краткоеОписание;номерКартинки;
"1";"Русский Фейерверк";"1";"1";"3";"Е-С535";"3130.000000";"1721.500000";"Разбуди соседей!                                                                                                                ";"";"8 эффектов:1. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).2. Желто-фиолетовая сфера (пион) с переходом в белые хвосты (кокос).3. Красная сфера (пион) с переходом в белые хвосты (кокос) и треск.4. Зелено-красно-синяя сфера (пион) и белое мерцание.5. Фиолетово-желтая сфера (пион) и треск.6. Красно-зелено-синяя сфера (пион) и треск.7. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).8. Красочная концовка. Звезды с пышными золотыми хвостами (кокос) и белое мерцание.";"1342";
"1";"Русский Фейерверк";"1";"1";"3";"Е-С535";"3130.000000";"1721.500000";"Разбуди соседей!                                                                                                                ";"";"8 эффектов:1. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).2. Желто-фиолетовая сфера (пион) с переходом в белые хвосты (кокос).3. Красная сфера (пион) с переходом в белые хвосты (кокос) и треск.4. Зелено-красно-синяя сфера (пион) и белое мерцание.5. Фиолетово-желтая сфера (пион) и треск.6. Красно-зелено-синяя сфера (пион) и треск.7. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).8. Красочная концовка. Звезды с пышными золотыми хвостами (кокос) и белое мерцание.";"1343";
"1";"Русский Фейерверк";"1";"1";"3";"Е-С535";"3130.000000";"1721.500000";"Разбуди соседей!                                                                                                                ";"";"8 эффектов:1. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).2. Желто-фиолетовая сфера (пион) с переходом в белые хвосты (кокос).3. Красная сфера (пион) с переходом в белые хвосты (кокос) и треск.4. Зелено-красно-синяя сфера (пион) и белое мерцание.5. Фиолетово-желтая сфера (пион) и треск.6. Красно-зелено-синяя сфера (пион) и треск.7. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).8. Красочная концовка. Звезды с пышными золотыми хвостами (кокос) и белое мерцание.";"1344";
"1";"Русский Фейерверк";"1";"1";"3";"Е-С535";"3130.000000";"1721.500000";"Разбуди соседей!                                                                                                                ";"";"8 эффектов:1. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).2. Желто-фиолетовая сфера (пион) с переходом в белые хвосты (кокос).3. Красная сфера (пион) с переходом в белые хвосты (кокос) и треск.4. Зелено-красно-синяя сфера (пион) и белое мерцание.5. Фиолетово-желтая сфера (пион) и треск.6. Красно-зелено-синяя сфера (пион) и треск.7. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).8. Красочная концовка. Звезды с пышными золотыми хвостами (кокос) и белое мерцание.";"1345";
"1";"Русский Фейерверк";"1";"1";"3";"Е-С535";"3130.000000";"1721.500000";"Разбуди соседей!                                                                                                                ";"";"8 эффектов:1. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).2. Желто-фиолетовая сфера (пион) с переходом в белые хвосты (кокос).3. Красная сфера (пион) с переходом в белые хвосты (кокос) и треск.4. Зелено-красно-синяя сфера (пион) и белое мерцание.5. Фиолетово-желтая сфера (пион) и треск.6. Красно-зелено-синяя сфера (пион) и треск.7. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).8. Красочная концовка. Звезды с пышными золотыми хвостами (кокос) и белое мерцание.";"1346";
"1";"Русский Фейерверк";"1";"1";"3";"Е-С535";"3130.000000";"1721.500000";"Разбуди соседей!                                                                                                                ";"";"8 эффектов:1. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).2. Желто-фиолетовая сфера (пион) с переходом в белые хвосты (кокос).3. Красная сфера (пион) с переходом в белые хвосты (кокос) и треск.4. Зелено-красно-синяя сфера (пион) и белое мерцание.5. Фиолетово-желтая сфера (пион) и треск.6. Красно-зелено-синяя сфера (пион) и треск.7. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).8. Красочная концовка. Звезды с пышными золотыми хвостами (кокос) и белое мерцание.";"1347";
"1";"Русский Фейерверк";"1";"1";"3";"Е-С535";"3130.000000";"1721.500000";"Разбуди соседей!                                                                                                                ";"";"8 эффектов:1. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).2. Желто-фиолетовая сфера (пион) с переходом в белые хвосты (кокос).3. Красная сфера (пион) с переходом в белые хвосты (кокос) и треск.4. Зелено-красно-синяя сфера (пион) и белое мерцание.5. Фиолетово-желтая сфера (пион) и треск.6. Красно-зелено-синяя сфера (пион) и треск.7. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).8. Красочная концовка. Звезды с пышными золотыми хвостами (кокос) и белое мерцание.";"1348";
"1";"Русский Фейерверк";"1";"1";"3";"Е-С535";"3130.000000";"1721.500000";"Разбуди соседей!                                                                                                                ";"";"8 эффектов:1. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).2. Желто-фиолетовая сфера (пион) с переходом в белые хвосты (кокос).3. Красная сфера (пион) с переходом в белые хвосты (кокос) и треск.4. Зелено-красно-синяя сфера (пион) и белое мерцание.5. Фиолетово-желтая сфера (пион) и треск.6. Красно-зелено-синяя сфера (пион) и треск.7. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).8. Красочная концовка. Звезды с пышными золотыми хвостами (кокос) и белое мерцание.";"1349";
"1";"Русский Фейерверк";"1";"1";"3";"Е-С535";"3130.000000";"1721.500000";"Разбуди соседей!                                                                                                                ";"";"8 эффектов:1. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).2. Желто-фиолетовая сфера (пион) с переходом в белые хвосты (кокос).3. Красная сфера (пион) с переходом в белые хвосты (кокос) и треск.4. Зелено-красно-синяя сфера (пион) и белое мерцание.5. Фиолетово-желтая сфера (пион) и треск.6. Красно-зелено-синяя сфера (пион) и треск.7. Красно-зеленая сфера (пион) с переходом в белые хвосты (кокос).8. Красочная концовка. Звезды с пышными золотыми хвостами (кокос) и белое мерцание.";"1341";
"1";"Русский Фейерверк";"6";"12";"16";"Р1030";"534.000000";"293.700000";"Хлопающие шары                                                                                                                  ";"Разбрасывает яркие искры с треском";"Разбрасывает яркие искры с треском";"1392";
