Category ID	Active (0/1)	Name *	Parent category	Root category (0/1)	Description	Meta title	Meta keywords	Meta description	URL rewritten	Image URL	shop
2	1	Пиротехника	1	0							
3	1	Петарды ghgjhgj	2	0							
4	1	Фитильные	3	0							
5	1	Терочные	3	0							
6	1	С чекой	3	0							
7	1	Связки 	3	0							
8	1	С эффектами	3	0							
9	1	Ракеты	2	0							1
10	1	Наборы	9	0							
11	1	Со свистом	9	0							
12	1	Складные	9	0							
13	1	Вертушки	2	0							4
14	1	Наземные	13	0							
15	1	Летающие	13	0							
16	1	Фонтаны	2	0							5
17	1	Дымовые	16	0							
18	1	Конусные	16	0							
19	1	Фигурные	16	0							
20	1	Вращающиеся	16	0							
21	1	С салютом	16	0							
22	1	Настольные	16	0							
23	1	Римские свечи	2	0							1,4,5
24	1	По калибрам	23	0							
25	1	< 0.7 дюйма 	24	0							
26	1	0.7 - 0.9 дюйма	24	0							
27	1	1.0 - 1.4 дюйма	24	0							
28	1	> 1.4 дюйма 	24	0							
29	1	По кол. Залпов	23	0							
30	1	< 8	29	0							
31	1	08.окт	29	0							
32	1	> 10	29	0							
33	1	C одним эффектом	23	0							
34	1	Несколько эффектов	23	0							
35	1	Связки свечей	23	0							
36	1	Фестивальные шары	2	0							
37	1	1.5 дюйма	36	0							
38	1	1.7 дюйма	36	0							
39	1	1.9 дюйма	36	0							
40	1	2.0 дюйма	36	0							
41	1	2.5 дюйма	36	0							
42	1	Батареи салютов	2	0							
43	1	По калибрам	42	0							
44	1	< 0.8 дюйма	43	0							
45	1	0.8 дюйма	43	0							
46	1	1.0  дюйма	43	0							
47	1	1.1  дюйма	43	0							
48	1	1.2 дюйма	43	0							
49	1	1.25 дюйма	43	0							
50	1	> 1.3 дюйма	43	0							
51	1	Комбинированные	43	0							
52	1	По кол. Залпов	42	0							
53	1	< 10	53	0							
54	1	окт.19	53	0							
55	1	20 - 29	53	0							
56	1	30 - 39	53	0							
57	1	40 - 49	53	0							
58	1	50 - 69	53	0							
59	1	70 - 99	53	0							
60	1	100 - 149	53	0							
61	1	150 - 199	53	0							
62	1	> 200	53	0							
63	1	Многоуровневые 	42	0							
64	1	Завершение залпом	42	0							
65	1	Веерные	42	0							
66	1	Комбинированные	42	0							
67	1	Модульные	42	0							
68	1	3Д	42	0							
69	1	Элитные	42	0							
70	1	По тематике	42	0							
71	1	Зимняя	70	0							
72	1	Новогодняя	70	0							
73	1	Рождество	70	0							
74	1	Военная	70	0							
75	1	Подарочная	70	0							
76	1	Свадебная	70	0							
77	1	Романтическая	70	0							
78	1	Для милых дам	70	0							
79	1	Для мужчин	70	0							
80	1	Для детей	70	0							
81	1	Для молодежи	70	0							
82	1	Сказочная	70	0							
83	1	С юмором	70	0							
84	1	Бенгальские свечи	2	0							
85	1	Малые	84	0							
86	1	Средние	84	0							
87	1	Крупные	84	0							
88	1	Цветные	84	0							
89	1	Фигурные	84	0							
90	1	С эффектами	84	0							
91	1	Хлопушки	2	0							
92	1	С серпантином	91	0							
93	1	С конфетти	91	0							
94	1	С сюрпризом	91	0							
95	1	Макси	91	0							
96	1	Супер	91	0							
97	1	Наборы	91	0							
98	1	Пневмохлопушки	2	0							
99	1	20 см	98	0							
100	1	30 см	98	0							
101	1	60 см	98	0							
102	1	100 см	98	0							
103	1	Небесные фонарики	2	0							
104	1	Бриллиант	103	0							
105	1	Корона	103	0							
106	1	Овал	103	0							
107	1	Сердце	103	0							
108	1	Цилиндр	103	0							
109	1	Факелы	2	0							
110	1	Дымовые	109	0							
111	1	Огневые	109	0							
112	1	Прочие	2	0							
