Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL;Shop ID
3;1;Пиротехника;2;0;;;;;;;1,4,5
4;1;Петарды;3;0;;;;;;;1,4,5
5;1;Фитильные;4;0;;;;;;;1,4,5
6;1;Терочные;4;0;;;;;;;1,4,5
7;1;С чекой;4;0;;;;;;;1,4,5
8;1;Связки ;4;0;;;;;;;1,4,5
9;1;С эффектами;4;0;;;;;;;1,4,5
10;1;Ракеты;3;0;;;;;;;1,4,5
11;1;Наборы;10;0;;;;;;;1,4,5
12;1;Со свистом;10;0;;;;;;;1,4,5
13;1;Складные;10;0;;;;;;;1,4,5
14;1;Вертушки;3;0;;;;;;;1,4,5
15;1;Наземные;14;0;;;;;;;1,4,5
16;1;Летающие;14;0;;;;;;;1,4,5
17;1;Фонтаны;3;0;;;;;;;1,4,5
18;1;Дымовые;17;0;;;;;;;1,4,5
19;1;Конусные;17;0;;;;;;;1,4,5
20;1;Фигурные;17;0;;;;;;;1,4,5
21;1;Вращающиеся;17;0;;;;;;;1,4,5
22;1;С салютом;17;0;;;;;;;1,4,5
23;1;Настольные;17;0;;;;;;;1,4,5
24;1;Римские свечи;3;0;;;;;;;1,4,5
25;1;По калибрам;24;0;;;;;;;1,4,5
26;1;Менее 0.7 дюйма ;25;0;;;;;;;1,4,5
27;1;0.7 - 0.9 дюйма;25;0;;;;;;;1,4,5
28;1;1.0 - 1.4 дюйма;25;0;;;;;;;1,4,5
29;1;Более 1.4 дюйма ;25;0;;;;;;;1,4,5
30;1;По кол. Залпов;24;0;;;;;;;1,4,5
31;1;Менее 8;30;0;;;;;;;1,4,5
32;1;8 - 10;30;0;;;;;;;1,4,5
33;1;Более 10;30;0;;;;;;;1,4,5
34;1;C одним эффектом;24;0;;;;;;;1,4,5
35;1;Несколько эффектов;24;0;;;;;;;1,4,5
36;1;Связки свечей;24;0;;;;;;;1,4,5
37;1;Фестивальные шары;3;0;;;;;;;1,4,5
38;1;1.5 дюйма;37;0;;;;;;;1,4,5
39;1;1.7 дюйма;37;0;;;;;;;1,4,5
40;1;1.9 дюйма;37;0;;;;;;;1,4,5
41;1;2.0 дюйма;37;0;;;;;;;1,4,5
42;1;2.5 дюйма;37;0;;;;;;;1,4,5
43;1;Батареи салютов;3;0;;;;;;;1,4,5
44;1;По калибрам;43;0;;;;;;;1,4,5
45;1;Менее 0.8 дюйма;44;0;;;;;;;1,4,5
46;1;0.8 дюйма;44;0;;;;;;;1,4,5
47;1;1.0  дюйма;44;0;;;;;;;1,4,5
48;1;1.1  дюйма;44;0;;;;;;;1,4,5
