Category ID|Active (0/1)|Name *|Parent category|Root category (0/1)|Description|Meta title|Meta keywords|Meta description|URL rewritten|Image URL|Shop ID
3|1|Петарды|2|0|||||||1^4^5
39|1|Фитильные|3|0|||||||1^4^5
40|1|Терочные|3|0|||||||1^4^5
32|1|С чекой|3|0|||||||1^4^5
31|1|Связки|3|0|||||||1^4^5
33|1|С эффектами|3|0|||||||1^4^5
4|1|Ракеты|2|0|||||||1^4^5
38|1|Наборы|4|0|||||||1^4^5
34|1|Со свистом|4|0|||||||1^4^5
49|1|Складные|4|0|||||||1^4^5
5|1|Вертушки|2|0|||||||1^4^5
35|1|Наземные|5|0|||||||1^4^5
36|1|Летающие|5|0|||||||1^4^5
41|1|С салютом|5|0|||||||1^4^5
6|1|Фонтаны|2|0|||||||1^4^5
37|1|Дымовые|6|0|||||||1^4^5
42|1|Конусные|6|0|||||||1^4^5
43|1|Фигурные|6|0|||||||1^4^5
44|1|Вращающиеся|6|0|||||||1^4^5
45|1|С салютом|6|0|||||||1^4^5
106|1|Настольные|6|0|||||||1^4^5
7|1|Рим.свечи|2|0|||||||1^4^5
108|1|По калибрам|7|0|||||||1^4^5
55|1|менее 0,7 дюйма|108|0|||||||1^4^5
50|1|0,7-0,9 дюйма|108|0|||||||1^4^5
51|1|1,0-1,4 дюйма|108|0|||||||1^4^5
52|1|более 1,4 дюйма|108|0|||||||1^4^5
110|1|Кол. залпов|7|0|||||||1^4^5
111|1|менее 8 залпов|110|0|||||||1^4^5
112|1|8-10 залпов|110|0|||||||1^4^5
113|1|более 10 залпов|110|0|||||||1^4^5
46|1|1 эффект|7|0|||||||1^4^5
47|1|Неск.эффектов|7|0|||||||1^4^5
48|1|Связки свечей|7|0|||||||1^4^5
8|1|Фестивальные шары|2|0|||||||1^4^5
57|1|1,5 дюйма (38 мм)|8|0|||||||1^4^5
58|1|1,7 дюйма (43 мм)|8|0|||||||1^4^5
60|1|1,9 дюйма (48 мм)|8|0|||||||1^4^5
59|1|2,0 дюйма (51 мм)|8|0|||||||1^4^5
61|1|2,5 дюйма (64 мм)|8|0|||||||1^4^5
9|1|Бат.салютов|2|0|||||||1^4^5
107|1|По калибрам|9|0|||||||1^4^5
62|1|менее 0,8 дюйма|107|0|||||||1^4^5
63|1|0.8 дюйма|107|0|||||||1^4^5
65|1|1,0 дюйм|107|0|||||||1^4^5
125|1|1,1 дюйма|107|0|||||||1^4^5
64|1|1.2 дюйма|107|0|||||||1^4^5
66|1|1,25 дюйма|107|0|||||||1^4^5
67|1|более 1,3 дюйма|107|0|||||||1^4^5
68|1|Комбинированные|107|0|||||||1^4^5
114|1|Кол. залпов|9|0|||||||1^4^5
115|1|менее 10 залпов|114|0|||||||1^4^5
116|1|10-19 залпов|114|0|||||||1^4^5
117|1|20-29 залпов|114|0|||||||1^4^5
118|1|30-39 залпов|114|0|||||||1^4^5
119|1|40-49 залпов|114|0|||||||1^4^5
120|1|50-69 залпов|114|0|||||||1^4^5
121|1|70-99 залпов|114|0|||||||1^4^5
122|1|100-149 залпов|114|0|||||||1^4^5
123|1|150-199 залпов|114|0|||||||1^4^5
72|1|Многоуровневый|9|0|||||||1^4^5
124|1|более 200 залпов|114|0|||||||1^4^5
73|1|С оконцовкой|9|0|||||||1^4^5
69|1|Веерные|9|0|||||||1^4^5
70|1|С фонтаном|9|0|||||||1^4^5
76|1|Модульная|9|0|||||||1^4^5
77|1|3Д|9|0|||||||1^4^5
75|1|Элитная|9|0|||||||1^4^5
71|1|Тематика|9|0|||||||1^4^5
74|1|Зимняя|71|0|||||||1^4^5
78|1|Новогодняя|71|0|||||||1^4^5
109|1|Рождество|71|0|||||||1^4^5
79|1|Военная|71|0|||||||1^4^5
80|1|Подарочная|71|0|||||||1^4^5
81|1|Свадебная|71|0|||||||1^4^5
82|1|Романтическая|71|0|||||||1^4^5
83|1|Для милых дам|71|0|||||||1^4^5
84|1|Для мужчин|71|0|||||||1^4^5
85|1|Для детей|71|0|||||||1^4^5
86|1|Для молодежи|71|0|||||||1^4^5
87|1|Сказочная|71|0|||||||1^4^5
88|1|С юмором|71|0|||||||1^4^5
10|1|Бенгал.св.|2|0|||||||1^4^5
22|1|Малые|10|0|||||||1^4^5
23|1|Средние|10|0|||||||1^4^5
24|1|Крупные|10|0|||||||1^4^5
25|1|Цветные|10|0|||||||1^4^5
26|1|Фигурные|10|0|||||||1^4^5
27|1|С эффектами|10|0|||||||1^4^5
11|1|Хлопушки|2|0|||||||1^4^5
100|1|С серпантином|11|0|||||||1^4^5
101|1|С конфетти|11|0|||||||1^4^5
102|1|С сюрпризом|11|0|||||||1^4^5
103|1|Макси|11|0|||||||1^4^5
104|1|Супер|11|0|||||||1^4^5
105|1|Наборы|11|0|||||||1^4^5
12|1|Пневмохлоп.|2|0|||||||1^4^5
96|1|20 см|12|0|||||||1^4^5
97|1|30 см|12|0|||||||1^4^5
98|1|60 см|12|0|||||||1^4^5
99|1|100 см|12|0|||||||1^4^5
13|0|Свет.палочки|2|0|||||||1^4^5
14|1|Неб.фонарики|2|0|||||||1^4^5
89|1|Бриллиант|14|0|||||||1^4^5
90|1|Корона|14|0|||||||1^4^5
91|1|Овал|14|0|||||||1^4^5
92|1|Сердце|14|0|||||||1^4^5
93|1|Цилиндр|14|0|||||||1^4^5
15|0|Украшения для торта|2|0|||||||1^4^5
16|0|Оборудование|2|0|||||||1^4^5
17|1|Факелы|2|0|||||||1^4^5
94|1|Дымовые|17|0|||||||1^4^5
95|1|Огневые|17|0|||||||1^4^5
18|0|Пистоны|2|0|||||||1^4^5
19|0|Дневн.фейерверки|2|0|||||||1^4^5
20|1|Подарочные наборы|2|0|||||||1^4^5
21|1|Прочее|2|0|||||||1^4^5
