Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
1|1|Корсар 1|3^40|448.40|0|246.62||||||ПТ201060|ПТ201060||8||||20.000000|6.000000|8.000000|0.125000|||||||хлопок петарды очень громкий и внушительный!|хлопок петарды очень громкий и внушительный!<br><iframe width="560" height="315" src="https://www.youtube.com/embed/tx9X90h-D5w?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/pt201060.jpg|1|||new|||||1^4^5|1|1|1
2|1|Лимонка (с чекой)|3^32|326.00|0|179.30||||||Р1050|Р1050||1||||14.000000|3.500000|12.500000|0.150000|||||||хлопок петарды очень громкий и внушительный!|хлопок петарды очень громкий и внушительный!<br><iframe width="420" height="315" src="https://www.youtube.com/embed/9GlOOBgJ2Mo?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р1050.jpg|1|||new|||||1^4^5|1|1|1
3|1|Корсар 2|3^40|462.00|0|254.10||||||Р1202|Р1202||1||||27.500000|6.000000|8.500000|0.720000|||||||взрываясь, дает громкий, акцентированный хлопок|взрываясь, дает громкий, акцентированный хлопок<br><iframe width="560" height="315" src="https://www.youtube.com/embed/5XSXOYj3ToY?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р1202.jpg|1|||new|||||1^4^5|1|1|1
4|1|Корсар 3|3^40|238.00|0|118.25||||||Р1301|Р1301||1||||22.500000|3.500000|8.000000|0.420000|||||||при разрыве такая петарда дает громкий хлопок|при разрыве такая петарда дает громкий хлопок<br><iframe width="560" height="315" src="https://www.youtube.com/embed/FPac-zHPSgM?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р1301.jpg|1|||new|||||1^4^5|1|1|1
5|1|Огневушка-поскакушка (волчок)|3^35|532.00|0|292.60||||||РС108|РС108||3||||12.000000|5.500000|8.000000|0.300000|||||||Разлетающиеся с жужжанием  разноцветные огоньки.|Разлетающиеся с жужжанием  разноцветные огоньки.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/Tz5CB2AzPCg?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс108.jpg|1|||new|||||1^4^5|1|1|1
6|1|Супер-Джамбо|3^39^33|1453.00|0|799.15||||||РС111|РС111||3||||35.000000|5.000000|27.000000|2.000000|||||||Имитация длинной пулеметной очереди.|Имитация длинной пулеметной очереди.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/U4HmQH8qk-I?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс111.jpg|1|||new|||||1^4^5|1|1|1
7|1|Пикарда|3^39|1612.00|0|886.60||||||РС130|РС130||3||||10.000000|9.000000|9.000000|1.041667|||||||<BR>Треск, искры и хлопок|<BR>Треск, искры и хлопок<br><iframe width="560" height="315" src="https://www.youtube.com/embed/oLxqiVPlv5w?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс130.jpg|1|||new|||||1^4^5|1|1|1
8|1|Граната РГД|3^39|463.00|0|242.00||||||РС137|РС137||3||||16.200000|4.200000|10.500000|0.138889|||||||хлопок|хлопок<br><iframe width="560" height="315" src="https://www.youtube.com/embed/haqc6R59Y1Q?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс137.jpg|1|||new|||||1^4^5|1|1|1
9|1|Пугач|4|567.00|0|253.44||||||Р2010|Р2010||1||||27.300000|0.500000|4.000000|0.320000|||||||Взлетает со шлейфом, хлопает|Взлетает со шлейфом, хлопает<br><iframe width="560" height="315" src="https://www.youtube.com/embed/WQv2INFM7mA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р2010.jpg^http://presta6.newogonek.ru/images/р2010-1.jpg|1|||new|||||1^4^5|1|1|1
10|1|Железная стрекоза|4^38|216.00|0|118.80||||||Р2310|Р2310||0||||43.600000|1.500000|12.000000|0.138889|||||||ракеты взлетают с резким свистом и затем взрываются разноцветными огненными букетами - красными, зелеными, лимонно-желтыми|ракеты взлетают с резким свистом и затем взрываются разноцветными огненными букетами - красными, зелеными, лимонно-желтыми<br><iframe width="560" height="315" src="https://www.youtube.com/embed/LA4QdeTIKUo?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р2310.jpg^http://presta6.newogonek.ru/images/р2310-1.jpg^http://presta6.newogonek.ru/images/р2310-2.jpg^http://presta6.newogonek.ru/images/р2310-3.jpg|1|||new|||||1^4^5|1|1|1
