Артикул|Кол-во|Мин. кол-во|Склад ID
ПТ201060|10|1|1
Р1050|10|1|1
Р1202|10|1|1
Р1301|10|1|1
РС108|10|1|1
РС111|10|1|1
РС130|10|1|1
РС137|10|1|1
Р2010|10|1|1
Р2310|10|1|1
Р2440|10|1|1
Р2464|10|1|1
Р2730|10|1|1
РС220|10|1|1
Р3020|10|1|1
Р3100|10|1|1
Р3520|10|1|1
Р3530|10|1|1
РС140|10|1|1
РС150|10|1|1
Р4110|10|1|1
РС475|10|1|1
РС480|10|1|1
РС483|10|1|1
РС485|10|1|1
Р5080|10|1|1
Р5543|10|1|1
РС502|10|1|1
РС505|10|1|1
РС530|10|1|1
Р6210|10|1|1
Р6240|10|1|1
Р6272|10|1|1
РС680|10|1|1
Е-С290|10|1|1
Е-С351|10|1|1
РС161|10|1|1
РС580|10|1|1
РС605|10|1|1
РС607|10|1|1
РС609|10|1|1
РС707|10|1|1
РС812|10|1|1
РС824|10|1|1
РС884|10|1|1
РС886|10|1|1
ТР151|10|1|1
ТР152|10|1|1
ТР152|10|1|1
ТР153|10|1|1
ТР156|10|1|1
ТР158|10|1|1
ТР159|10|1|1
ТР160|10|1|1
Р1900|10|1|1
ФДБ|10|1|1
ФДЖ|10|1|1
ФДЗ|10|1|1
ФДО|10|1|1
ФДС|10|1|1
ФОЗ|10|1|1
ФОК|10|1|1
ФОС|10|1|1
