Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
4|1|Джамбо|3^39^33|40.00|0|40.00||||||РС110|РС110|1|3||||16.500000|4.500000|9.000000|0.270833||1|||уп.|5000|Имитация пулеметной очереди|Имитация пулеметной очереди<br><iframe width="560" height="315" src="https://www.youtube.com/embed/u2bOEfocvJA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс110.jpg|1|Фасовка:уп.:1||new||||2|1^2|1|1|
5|1|Талисман|3^39|50.00|0|50.00||||||РС135|РС135|1|3||||13.500000|13.500000|13.500000|0.050000||1|||уп.|5000|хлопок|хлопок<br><iframe width="560" height="315" src="https://www.youtube.com/embed/e17MVJicRHg?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс135.jpg|1|Фасовка:уп.:1||new||||2|1^2|1|1|
6|1|Граната противоп|3^39|60.00|0|60.00||||||РС138|РС138|1|3||||21.500000|7.300000|14.000000|0.360000||1|||уп.|5000|Оглушительный хлопок|Оглушительный хлопок<br><iframe width="560" height="315" src="https://www.youtube.com/embed/y7ca74ACjlc?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс138.jpg|1|Фасовка:уп.:1||new||||2|1^2|1|1|
7|1|Ястреб|4|70.00|0|70.00||||||Р2440|Р2440|1|0||||72.000000|2.100000|17.000000|0.283333||1|||уп.|5000|1. Разрыв серебряными хвостами с трещащими и мерцающими звездами.<BR><BR>2. Разрыв красно-зелеными звездами|1. Разрыв серебряными хвостами с трещащими и мерцающими звездами.<BR><BR>2. Разрыв красно-зелеными звездами<br><iframe width="560" height="315" src="https://www.youtube.com/embed/xYB_YagI0d0?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р2440.jpg^http://presta6.newogonek.ru/images/р2440-1.jpg^http://presta6.newogonek.ru/images/р2440-2.jpg|1|Фасовка:уп.:1||new||||2|1^2|1|1|
8|1|Ариэль набор|4^38|80.00|0|80.00||||||РС220|РС220|1|3||||40.000000|11.000000|11.000000|0.111111||1|||уп.|5000|6 эффектов. В каждой ракете свой эффект.<BR>1. золотые падающие огоньки.<BR>2. красные падающие огоньки и 2 вспышки.<BR>3. серебряные мерцающие огни.<BR>4. букет из красных огней.<BR>5. букет из желтых огней.<BR>6. букет из зеленых огней.|6 эффектов. В каждой ракете свой эффект.<BR>1. золотые падающие огоньки.<BR>2. красные падающие огоньки и 2 вспышки.<BR>3. серебряные мерцающие огни.<BR>4. букет из красных огней.<BR>5. букет из желтых огней.<BR>6. букет из зеленых огней.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/rNCTslkA6Co?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс220.jpg|1|Фасовка:уп.:1^Калибр:0.6:3||new||||2|1^2|1|1|
9|1|Феникс набор|4^38|90.00|0|90.00||||||РС230|РС230|1|3||||69.100000|4.500000|17.000000|0.500000||1|||уп.|5000|6 ракет: красные или фиолетовые звезды с треском и искристыми форсами; серебристая мерцающая сфера; множество эффектных золотых комет; двухцветные зелено-сиреневые пионы; золотые цветы с белым мерцанием|6 ракет: красные или фиолетовые звезды с треском и искристыми форсами; серебристая мерцающая сфера; множество эффектных золотых комет; двухцветные зелено-сиреневые пионы; золотые цветы с белым мерцанием<br><iframe width="560" height="315" src="https://www.youtube.com/embed/_PPPVbQYaVU?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс230.jpg^http://presta6.newogonek.ru/images/рс230-1.jpg^http://presta6.newogonek.ru/images/рс230-2.jpg|1|Фасовка:уп..:1^Калибр:1.1:3||new||||2|1^2|1|1|
10|1|К звёздам!|4^38|100.00|0|100.00||||||РС261|РС261|1|3||||82.500000|5.000000|22.000000|0.541667||1|||уп.|5000|Набор ракет <BR>2 ракеты, калибр 1,3”;<BR>2 ракеты, калибр 1,5”;<BR>1 ракета, калибр 1,7”.<BR>3 эффекта.<BR>1. сфера из серебряных форсов.<BR>2. сфера из золотых форсов с золотыми искрами.<BR>3. сфера из золотых форсов с серебряными искрами.|Набор ракет <BR>2 ракеты, калибр 1,3”;<BR>2 ракеты, калибр 1,5”;<BR>1 ракета, калибр 1,7”.<BR>3 эффекта.<BR>1. сфера из серебряных форсов.<BR>2. сфера из золотых форсов с золотыми искрами.<BR>3. сфера из золотых форсов с серебряными искрами.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/d2wq2zofPqM?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/рс261.jpg|1|Фасовка:уп.:1^Калибр:1.3-1.3-1.7:3||new||||2|1^2|1|1|
11|1|Огненные пчёлы|5^36|110.00|0|110.00||||||Р3010|Р3010|1|1||||4.500000|2.800000|2.800000|0.266667||1|||уп.|5000|Взлетает, жужжит, разбрасывает искры, вспыхивает зеленым огоньком|Взлетает, жужжит, разбрасывает искры, вспыхивает зеленым огоньком<br><iframe width="560" height="315" src="https://www.youtube.com/embed/wIvq8rgRYOk?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р3010.jpg^http://presta6.newogonek.ru/images/р3010-1.jpg|1|Фасовка:бл.:1||new||||2|1^2|1|1|
12|1|Весенняя бабочка|5^36|120.00|0|120.00||||||Р3020|Р3020|1|1||||6.700000|3.600000|3.600000|0.500000||1|||уп.|5000|Взлетает с шумом, разбрасывает искры, вспыхивает яркой золотой звездой.|Взлетает с шумом, разбрасывает искры, вспыхивает яркой золотой звездой.<br><iframe width="560" height="315" src="https://www.youtube.com/embed/ZdxQslAjxWs?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р3020.jpg^http://presta6.newogonek.ru/images/р3020-1.jpg|1|Фасовка:бл.:1||new||||2|1^2|1|1|
13|1|Веселый жук|5^35|130.00|0|130.00||||||Р3520|Р3520|1|1||||5.300000|1.600000|1.600000|0.800000||1|||уп.|5000|Вертится, образуя круг красного, зеленого, желтого огня|Вертится, образуя круг красного, зеленого, желтого огня<br><iframe width="560" height="315" src="https://www.youtube.com/embed/x2F0liz4nsg?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://presta6.newogonek.ru/images/р3520.jpg^http://presta6.newogonek.ru/images/р3520-1.jpg^http://presta6.newogonek.ru/images/р3520-2.jpg|1|Фасовка:бл.:1||new||||2|1^2|1|1|
