Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Сертификат|Сертификат полный|ГТД|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
1|1|Корсар 1|3^40|10.00|0|10.00||||||ПТ201060|ПТ201060|1|8|60|10|24||||||20.000000|6.000000|8.000000|0.125000||1|||2|2|1|за 1 бл.из 10 уп.по 60 шт.|СЗ25.А.00001        |СЗ25.А.00001 0155636 ООО "Северо-Западная НПЛ" ООО "ТехноПромВзрыв" PXP/Ru-15-2015 от 27.03.2015 04.11.2015-03.11.2018                                                                                                                                    |10130080/010515/0014628  |уп.|5000|хлопок петарды очень громкий и внушительный!|хлопок петарды очень громкий и внушительный!<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/tx9X90h-D5w?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/pt201060.jpg|1|||new||||2|1^4^5^6|1|1|
2|1|Мега Корсар||20.00|0|20.00||||||Р1084|Р1084|1|1|3|1|100||||||20.000000|3.300000|3.300000|0.250000||1|||1|1|1|за 1 уп.из 3 шт.|СЗ25.А.00038        |СЗ25.А.00038 0155678 ООО "Северо-Западная НПЛ" ООО "Русский фейерверк" RR-01/16 от 02.02.2016 11.10.2016-10.10.2019                                                                                                                                       |10130080/180517/0011277  |уп.|5000||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/gQFXRgGgNVA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р1084.jpg|1|||new||||2|1^4^5^6|1|1|
3|1|Больш. Билли-Бумс|3^33|30.00|0|30.00||||||Р1320|Р1320|1|1|20|10|25||||||30.000000|5.000000|7.500000|0.680000||1|||2|2|1|за 1 бл.из 10 уп.по 20 шт.|ЦЦ07.А.00352        |ЦЦ07.А.00352 0092462 НПЭБиС "Пиротекс" ООО "Русский фейерверк" RR-02/14 от 18.11.2013 09.09.2014-08.09.2017                                                                                                                                               |10130080/230413/0001772  |уп.|5000|перед тем, как взорваться, петарда крутится на месте, как сумасшедшая, выбрасывая искры, и лишь затем разлетается на кусочки с громким хлопком.|перед тем, как взорваться, петарда крутится на месте, как сумасшедшая, выбрасывая искры, и лишь затем разлетается на кусочки с громким хлопком.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/0Ls23niVl7w?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р1320.jpg|1|||new||||2|1^4^5^6|1|1|
4|1|Джамбо|3^39^33|40.00|0|40.00||||||РС110|РС110|1|3|3|1|48||||||16.500000|4.500000|9.000000|0.270833||1|||1|1|1|за 1 уп.из 3 шт.|АБ11.А.00028        |АБ11.А.00028 0369991 АНО "Независимый орган по сертификации пиротехники" АО "ФНПЦ "НИИПХ" RP-02/16 22.01.2016 30.08.2016-29.08.2019                                                                                                                       |10130080/120715/0001540  |уп.|5000|Имитация пулеметной очереди|Имитация пулеметной очереди<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/u2bOEfocvJA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс110.jpg|1|||new||||2|1^4^5^6|1|1|
5|1|Талисман|3^39|50.00|0|50.00||||||РС135|РС135|1|3|50|1|80||||||13.500000|13.500000|13.500000|0.050000||1|||1|1|1|за 1 уп.из 50 шт.|ЦЦ.09.А.00250       |ЦЦ.09.А.00250 0246133 ООО "Пуск" ОАО "ФНПЦ "НИИ прикладной химии" RP-02/14 от 25.02.2014 08.12.2014-07.12.2017                                                                                                                                            |10130080/020614/0002535  |уп.|5000|хлопок|хлопок<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/e17MVJicRHg?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс135.jpg|1|||new||||2|1^4^5^6|1|1|
6|1|Граната противоп|3^39|60.00|0|60.00||||||РС138|РС138|1|3|6|1|50||||||21.500000|7.300000|14.000000|0.360000||1|||1|1|1|за 1 уп.из 6 шт.|ЦЦ09.А.00577        |ЦЦ09.А.00577 0157827 ООО "Пуск" АО "ФНПЦ "НИИПХ" RP-02/16 от 22.01.2016 22.11.2016-21.11.2019                                                                                                                                                             |10130080/160615/0011510  |уп.|5000|Оглушительный хлопок|Оглушительный хлопок<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/y7ca74ACjlc?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс138.jpg|1|||new||||2|1^4^5^6|1|1|
7|1|Ястреб|4|70.00|0|70.00||||||Р2440|Р2440|1|0|4|1|60||||||72.000000|2.100000|17.000000|0.283333||1|||1|1|1|за 1 уп.из 4 шт.|ЩШ01.А.00024        |ЩШ01.А.00024 046041 ООО "Испытательный центр "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 12.07.2017-11.07.2020                                                                                                                              |                         |уп.|5000|1. Разрыв серебряными хвостами с трещащими и мерцающими звездами.<BR><BR>2. Разрыв красно-зелеными звездами|1. Разрыв серебряными хвостами с трещащими и мерцающими звездами.<BR><BR>2. Разрыв красно-зелеными звездами<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/xYB_YagI0d0?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р2440.jpg^http://ogonek.beget.tech/images/р2440-1.jpg^http://ogonek.beget.tech/images/р2440-2.jpg|1|Высота, м.:30:3||new||||2|1^4^5^6|1|1|
8|1|Ариэль набор||80.00|0|80.00||||||РС220|РС220|1|3|6|1|72||||||40.000000|11.000000|11.000000|0.111111||1|||1|1|1|за 1 уп.из 6 шт.|ЦЦ09.А.00558        |ЦЦ09.А.00558 0157807 ООО "Пуск" ОАО "ФНПЦ "НИИ прикладной химии" RP-02/16 от 22.01.2016 10.10.2016-09.10.2019                                                                                                                                             |10130080/230617/0014265  |уп.|5000||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/rNCTslkA6Co?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс220.jpg|1|Калибр, дюйм:0.6:2^Высота, м.:40:3^Время, сек.:0:4||new||||2|1^4^5^6|1|1|
9|1|Феникс набор|4^38|90.00|0|90.00||||||РС230|РС230|1|3|6|1|24||||||69.100000|4.500000|17.000000|0.500000||1|||1|1|1|за 1 уп.из 6 шт.|ЦЦ09.А.00564        |ЦЦ09.А.00564 0157814 ООО "Пуск" АО "ФНПЦ "НИИПХ" RP-02/16 от 22.01.2016 31.10.2016-30.10.2019                                                                                                                                                             |10130080/120715/0001540  |уп.|5000|6 ракет: красные или фиолетовые звезды с треском и искристыми форсами; серебристая мерцающая сфера; множество эффектных золотых комет; двухцветные зелено-сиреневые пионы; золотые цветы с белым мерцанием|6 ракет: красные или фиолетовые звезды с треском и искристыми форсами; серебристая мерцающая сфера; множество эффектных золотых комет; двухцветные зелено-сиреневые пионы; золотые цветы с белым мерцанием<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/_PPPVbQYaVU?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс230.jpg^http://ogonek.beget.tech/images/рс230-1.jpg^http://ogonek.beget.tech/images/рс230-2.jpg|1|Калибр, дюйм:1.1:2^Высота, м.:70:3^Время, сек.:0:4||new||||2|1^4^5^6|1|1|
10|1|К звёздам!|4^38|100.00|0|100.00||||||РС261|РС261|1|3|5|1|24||||||82.500000|5.000000|22.000000|0.541667||1|||1|1|1|за 1 уп.из 5 шт.|ЦЦ09.А.00572        |ЦЦ09.А.00572 0157822 ООО "Пуск" АО "ФНПЦ "НИИПХ" RP-01/16 от 22.01.2016 17.11.2016-16.11.2019                                                                                                                                                             |10130080/160615/0011510  |уп.|5000|Набор ракет <BR>2 ракеты, калибр 1,3”;<BR>2 ракеты, калибр 1,5”;<BR>1 ракета, калибр 1,7”.<BR>3 эффекта.<BR>1. сфера из серебряных форсов.<BR>2. сфера из золотых форсов с золотыми искрами.<BR>3. сфера из золотых форсов с серебряными искрами.|Набор ракет <BR>2 ракеты, калибр 1,3”;<BR>2 ракеты, калибр 1,5”;<BR>1 ракета, калибр 1,7”.<BR>3 эффекта.<BR>1. сфера из серебряных форсов.<BR>2. сфера из золотых форсов с золотыми искрами.<BR>3. сфера из золотых форсов с серебряными искрами.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/d2wq2zofPqM?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс261.jpg|1|Калибр, дюйм:1.3-1.3-1.7:2^Высота, м.:100:3^Время, сек.:0:4||new||||2|1^4^5^6|1|1|
