Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Страна происх.|Сертификат|Сертификат полный|ГТД|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
1578|1|Бенг. свечи 170|10^22|11.55|0|11.55||||||ТР155|ТР155|1|4|6|1|200||||||24.000000|6.000000|6.000000|0.013000||1|||1|1|1|за 1 уп. из 6 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|1.93|Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/A2UZd-C9OGI?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр155.jpg|1|||new||||2|1^4^5^6|1|1|
1579|1|Бенг. свечи 210|10^22|13.50|0|13.50||||||ТР156|ТР156|1|4|6|1|200||||||27.500000|6.000000|6.000000|0.017000||1|||1|1|1|за 1 уп. из 6 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|2.25|Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/2uMJVGGqCTk?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр156.jpg|1|||new||||2|1^4^5^6|1|1|
1580|1|Бенг. свечи 170э|10^22|12.15|0|12.15||||||ТР157|ТР157|1|4|6|1|200||||||24.000000|6.000000|6.000000|0.019000||1|||1|1|1|за 1 уп. из 6 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|2.03|Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/3IgI3zUVymE?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр157.jpg^http://ogonek.beget.tech/images/тр157-1.jpg|1|||new||||2|1^4^5^6|1|1|
1581|1|Бенг. свечи 170с|10^22^25|17.85|0|17.85||||||ТР158|ТР158|1|4|6|1|200||||||24.000000|6.000000|6.000000|0.019500||1|||1|1|1|за 1 уп. из 6 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|2.98|Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета|Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/HH5rPFo08YY?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр158.jpg^http://ogonek.beget.tech/images/тр158-1.jpg^http://ogonek.beget.tech/images/тр158-2.jpg|1|||new||||2|1^4^5^6|1|1|
1582|1|Бенг. свечи 210э|10^22|14.55|0|14.55||||||ТР159|ТР159|1|4|6|1|200||||||27.500000|1.000000|6.000000|0.028500||1|||1|1|1|за 1 уп. из 6 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|2.43|Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета|Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/iUH1100nQ78?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр159.jpg^http://ogonek.beget.tech/images/тр159-1.jpg|1|||new||||2|1^4^5^6|1|1|
1583|1|Бенг. свечи 210с|10^22^25|22.35|0|22.35||||||ТР160|ТР160|1|4|6|1|200||||||27.500000|1.000000|6.000000|0.027500||1|||1|1|1|за 1 уп. из 6 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|3.73|Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета|Разлетающиеся серебряные искры. Бенгальские свечи окрашены в разные яркие цвета<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/M7rNXJvnejs?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр160.jpg^http://ogonek.beget.tech/images/тр160-1.jpg^http://ogonek.beget.tech/images/тр160-2.jpg|1|||new||||2|1^4^5^6|1|1|
1584|1|Бенг св. Звездочка|10^22^26|34.80|0|34.80||||||ТР161|ТР161|1|4|2|1|100||||||27.500000|1.500000|9.000000|0.018000||1|||1|1|1|за 1 уп. из 2 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|17.40|Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/8BwBeUQkfIE?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр161.jpg^http://ogonek.beget.tech/images/тр161-1.jpg|1|||new||||2|1^4^5^6|1|1|
1585|1|Сердечко|10^22^26|38.40|0|38.40||||||ТР162|ТР162|1|4|2|1|100||||||27.500000|1.500000|9.000000|0.021000||1|||1|1|1|за 1 уп. из 2 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|19.20|Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/cWdIzU7ku9o?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр162.jpg^http://ogonek.beget.tech/images/тр162-1.jpg|1|||new||||2|1^4^5^6|1|1|
1586|1|Елочка|10^22^26|41.85|0|41.85||||||ТР163|ТР163|1|4|2|1|100||||||27.500000|1.500000|9.000000|0.020000||1|||1|1|1|за 1 уп. из 2 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|20.93|Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/btwgH4msRnk?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр163.jpg^http://ogonek.beget.tech/images/тр163-1.jpg^http://ogonek.beget.tech/images/тр163-2.jpg|1|||new||||2|1^4^5^6|1|1|
1587|1|Свиристель|10^22^27|40.50|0|40.50||||||ТР164|ТР164|1|4|5|1|120||||||36.500000|1.000000|3.500000|0.043333||1|||1|1|1|за 1 уп. из 5 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|8.10|Разлетающиеся сверкающие искры, свист|Разлетающиеся сверкающие искры, свист<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/xhHddSHKpf0?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тр164.jpg^http://ogonek.beget.tech/images/тр164-1.jpg^http://ogonek.beget.tech/images/тр164-2.jpg^http://ogonek.beget.tech/images/тр164-3.jpg^http://ogonek.beget.tech/images/тр164-4.jpg^http://ogonek.beget.tech/images/тр164-5.jpg|1|||new||||2|1^4^5^6|1|1|
