Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Макс скидка|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Страна происх.|Сертификат|Сертификат полный|ГТД|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
257|1|ПЕТАРДЫ U2601 Душки (бертолетова соль)|3^39|819.00|100|0|381.15||||||TXP082|TXP082|1|12|50|50|6||||||0.000000|0.000000|0.000000|1.000000||1|||2|2|1|за 1 бл. из 50 уп. по 50 шт.|3|BY/11200028         |BY/11200028 .  .    -  .  .                                                                                                                                                                                                                               |10130080/170616/0004808  |уп.|16.38||<br><BR>||||||||1|||1|http://cx14726.tmweb.ru/images/txp082.jpg|1|||new||||2|1|1|1|
258|1|ФИТИЛЬНЫЕ 20 пачек по 10уп/10шт|3^39|397.80|100|0|185.13||||||TXP226|TXP226|1|12|10|10|20||||||0.000000|0.000000|0.000000|0.400000||1|||2|2|1|за 1 бл. из 10 уп. по 10 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/250415/0014225  |уп.|39.78||<br><BR>||||||||1|||1|http://cx14726.tmweb.ru/images/txp226.jpg|1|||new||||2|1|1|1|
260|1|Трескучий гром   (уп. 20 шт.) ФИТИЛЬНЫЕ|3^39|140.40|100|0|65.34||||||TXP384|TXP384|1|12|20|1|60||||||0.000000|0.000000|0.000000|0.250000||1|||1|1|1|за 1 уп. из 20 шт.|3|BY/11200028         |BY/11200028 .  .    -  .  .                                                                                                                                                                                                                               |10130080/170616/0004808  |шт.|7.02||<br><BR>https://youtu.be/V8XFU8geQAQ||||||||1|||1|http://cx14726.tmweb.ru/images/txp384.jpg^http://cx14726.tmweb.ru/images/txp384-1.jpg^http://cx14726.tmweb.ru/images/txp384-2.jpg|1|||new||||2|1|1|1|
262|1|GROM2 (1уп-36шт.) ФИТИЛЬНЫЕ|3^39|179.40|100|0|83.49||||||TXP485|TXP485|1|12|36|1|40||||||0.000000|0.000000|0.000000|0.375000||1|||1|1|1|за 1 уп. из 36 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/240414/0004836  |шт.|4.98||<br><BR>https://youtu.be/JsDXGTyv3Jg||||||||1|||1|http://cx14726.tmweb.ru/images/txp485.jpg|1|||new||||2|1|1|1|
265|1|Зеленые шарики (уп. 6 шт.) ФИТИЛЬНЫЕ|3^39|365.04|100|0|169.88||||||TXP786|TXP786|1|12|6|12|16||||||0.000000|0.000000|0.000000|0.250000||1|||2|2|1|за 1 бл. из 12 уп. по 6 шт.|3|BY/11200028         |BY/11200028 .  .    -  .  .                                                                                                                                                                                                                               |10130080/170616/0004808  |уп.|30.42||<br><BR>||||||||1|||1|http://cx14726.tmweb.ru/images/txp786.jpg^http://cx14726.tmweb.ru/images/txp786-1.jpg|1|||new||||2|1|1|1|
269|1|Ракеты (1уп.-9шт.)|4^38|857.99|100|0|399.30||||||TXR141|TXR141|1|12|9|1|10||||||0.000000|0.000000|0.000000|0.700000||1|||1|1|1|за 1 уп. из 9 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/170414/0004172  |шт.|95.33||<br><BR>||||||||1|||1|http://cx14726.tmweb.ru/images/txr141.jpg^http://cx14726.tmweb.ru/images/txr141-1.jpg|1|||new||||2|1|1|1|
270|1|Ракеты колпаки (1уп.-12шт.)|4^38|210.60|100|0|98.01||||||TXR371|TXR371|1|12|12|1|48||||||0.000000|0.000000|0.000000|0.208333||1|||1|1|1|за 1 уп. из 12 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/230615/0014265  |шт.|17.55||<br><BR>||||||||1|||1|http://cx14726.tmweb.ru/images/txr371.jpg|1|||new||||2|1|1|1|
272|1|Ракеты (1уп.-6шт.)|4^38|389.99|100|0|181.50||||||TXR606|TXR606|1|12|6|1|24||||||0.000000|0.000000|0.000000|0.291667||1|||1|1|1|за 1 уп. из 6 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/180414/0000674  |шт.|65.00||<br><BR>||||||||1|||1|http://cx14726.tmweb.ru/images/txr606.jpg|1|||new||||2|1|1|1|
287|1|SONG, 1 мин, 8сек (1.20" x 37)|9^64^107^114^118|2027.97|100|0|943.80||||||YHW009|YHW009|1|12|1|1|6||||||0.000000|0.000000|0.000000|0.000000||1|||0|0|1|за 1 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/240414/0004836  ||||<br><BR>https://www.youtube.com/watch?v=KHxa-M8GihA||||||||1|||1|http://cx14726.tmweb.ru/images/yhw009.jpg^http://cx14726.tmweb.ru/images/yhw009-1.jpg|1|Количество залпов:37:1^Калибр, дюйм:1.2:2^Время, сек.:0:4||new||||2|1|1|1|
308|1|Полярный экспресс (1,25"х36)|9^66^73^107^114^118|3700.00|100|0|2035.00||||||А7407|А7407|1|10|1|1|4||||||0.000000|0.000000|0.000000|0.000000||1|||0|0|1|за 1 шт.|1|                    |                                                                                                                                                                                                                                                          |10130080/230615/0014265  ||||<br><BR>||||||||1|||1|http://cx14726.tmweb.ru/images/а7407.jpg|1|Количество залпов:36:1^Калибр, дюйм:1.25:2^Время, сек.:0:4||new||||2|1|1|1|
