Category ID|Active (0/1)|Name *|�������|Parent category|Root category (0/1)|Description|Meta title|Meta keywords|Meta description|URL rewritten|Image URL|Shop ID
3|1|Петарды|100|2|0|Петарды являются одним из старейших видов пиротехнических изделий. Благодаря своему впечатляющему звуковому эффекту они пользуются большой популярностью на праздниках. Петарды оптом продаются на нашем сайте и быстро находят своих покупателей благодаря своей широкой известности и невысокой цене. Купить петарды оптом можно, подобрав в нашем ассортименте понравившиеся изделия по различным параметрам. В частности, в каталоге представлены популярные петарды корсар оптом.|Купить петарды оптом, цена на петарды.|петарды оптом  купить петарды оптом корсар оптом|Петарды от производителя оптом. Доставка с собственного склада. Петарды Корсар.||http://cx14726.tmweb.ru/images/рс121.jpg|1^2
39|1|Фитильные|101|3|0|||||||1^2
40|1|Терочные|102|3|0|||||||1^2
32|1|С чекой|103|3|0|||||||1^2
31|1|Связки|107|3|0|||||||1^2
33|1|С эффектами|108|3|0|||||||1^2
4|1|Ракеты|200|2|0|Ракеты станут отличным дополнением к празднику на любой вкус. В каталоге представлены ракеты оптом от различных производителей. Ракета имеет один, но мощный заряд, обеспечивающий яркий эффект на большой высоте. Купить ракеты оптом можно, исходя из различных параметров. Все представленные ракеты имеют высокое качество и надежность, поэтому оставят лишь приятные впечатления у покупателей.|Купить ракеты оптом, цена ракет.|ракеты оптом                                            купить ракеты оптом|Купить ракеты оптом с доставкой. Большой выбор ракет по ценам производителя. Ракеты в наличии на складе! Доставка по РФ.||http://cx14726.tmweb.ru/images/рс250.jpg|1^2
38|1|Наборы|201|4|0|||||||1^2
34|1|Со свистом|202|4|0|||||||1^2
49|1|Складные|203|4|0|||||||1^2
5|1|Вертушки|300|2|0|Вертушки бывают разных типов: одни ярко и забавно крутятся на земле, другие взмывают в небо, производя необычный динамичный эффект рассыпающихся по спирали искр. Вертушки оптом станут отличной покупкой как для взрослого, так и для детского праздника. Но, конечно, важно, чтобы запускали пиротехнические изделия именно взрослые люди. Купить вертушки оптом – хорошая идея, чтобы позабавить своих гостей любого возраста.|Купить вертушки оптом, пиротехника для праздника.|вертушки оптом                                            купить вертушки оптом|Вертушки оптом от производителя. Купить вертушки оптом с доставкой. Большой выбор в на складе!||http://cx14726.tmweb.ru/images/рс140.jpg|1^2
35|1|Наземные|301|5|0|||||||1^2
36|1|Летающие|302|5|0|||||||1^2
41|1|С салютом|303|5|0|||||||1^2
6|1|Фонтаны|400|2|0|Пиротехнические фонтаны всегда завораживают взгляд и вызывают восхищение ярким и необычным эффектом. Фонтан оптом настольный можно использовать в помещении для украшения домашнего торжества. Фонтан оптом на улице станет «изюминкой» летней вечеринки или новогоднего праздника. Фонтаны оптом купить можно любого вида, высоты и эстетического исполнения, все зависит от пожеланий покупателя и самого торжества.|Фонтаны оптом - фонтаны с салютом, купить настольный фонтан.|фонтаны оптом                                      купить фонтан оптом            настольный фонтан оптом|Фонтаны для улицы и для помещения. Купить настольный фонтан оптом. Пиротехника от производителя! Широкий ассортимент фонтанов оптом.||http://cx14726.tmweb.ru/images/рс479.jpg|1^2
37|1|Дымовые|401|6|0|||||||1^2
42|1|Конусные|402|6|0|||||||1^2
43|1|Фигурные|403|6|0|||||||1^2
44|1|Вращающиеся|404|6|0|||||||1^2
45|1|С салютом|405|6|0|||||||1^2
106|1|Настольные|406|6|0|||||||1^2
7|1|Римские свечи|500|2|0|Римские свечи различаются по количеству залпов и представляют собой настоящий фейерверк, упакованный в одну трубку. Римские свечи оптом можно выбрать по наличию эффектов, их длительности, а также выбрать сразу связку свечей для настоящего праздничного салюта. Купить римские свечи на праздник – отличная идея, чтобы порадовать своих друзей и родных.|Римские свечи оптом, римские свечи для праздника.|римские свечи оптом|Купить римские свечи оптом. Широкий ассортимент! Цены от производителя! Римские свечи с доставкой по РФ с собственного склада.||http://cx14726.tmweb.ru/images/рс511.jpg|1^2
108|1|По калибрам|500|7|0|||||||1^2
55|1|менее 0,7 дюйма|501|108|0|||||||1^2
50|1|0,7-0,9 дюйма|502|108|0|||||||1^2
51|1|1,0-1,4 дюйма|503|108|0|||||||1^2
52|1|более 1,4 дюйма|504|108|0|||||||1^2
110|1|Кол. залпов|510|7|0|||||||1^2
111|1|менее 8 залпов|511|110|0|||||||1^2
112|1|8-10 залпов|512|110|0|||||||1^2
113|1|более 10 залпов|513|110|0|||||||1^2
46|1|1 эффект|520|7|0|||||||1^2
47|1|Неск.эффектов|530|7|0|||||||1^2
48|1|Связки свечей|540|7|0|||||||1^2
8|1|Фестивальные шары|600|2|0|Фестивальные шары помогут сделать любой праздник красивым и незабываемым. Яркие шары «распускаются» в небе один за другим, создавая атмосферу радости и торжественности события. Фестивальные шары оптом от производителя имеют высокое качество и хорошо продуманное эстетическое исполнение. Диаметр фестивальных шаров бывает разный, что позволяет создать эффект многомерного фейерверка или использовать только один диаметр.|Купить фестивальные шары оптом - большой выбор!|фестивальные шары оптом|Фестивальные шары для праздника. Купить фестивальные шары оптом с доставкой. Большой выбор фестивальных шаров в наличии!||http://cx14726.tmweb.ru/images/рс682.jpg|1^2
57|1|1,5 дюйма (38 мм)|601|8|0|||||||1^2
58|1|1,7 дюйма (43 мм)|602|8|0|||||||1^2
60|1|1,9 дюйма (48 мм)|603|8|0|||||||1^2
59|1|2,0 дюйма (51 мм)|604|8|0|||||||1^2
61|1|2,5 дюйма (64 мм)|605|8|0|||||||1^2
9|1|Батареи салютов|700|2|0|Фейерверк – это то волшебство, с которым у каждого ассоциируется ощущение праздника. Это «изюминка» вечера и незабываемые впечатления всех гостей. Батареи салютов оптом различаются по количеству залпов, калибру, количеству уровней и эстетическому исполнению. По всем этим параметрам на нашем сайте можно подобрать батареи салютов оптом, которые наилучшим образом будут соответствовать тому или иному мероприятию.|Купить батареи салютов оптом, цены от производителя.|батареи салютов оптом|Фейерверки для праздника, батареи салютов оптом купить. Заказать пиротехнику оптом с доставкой. Вся пиротехника в наличии! Русский фейерверк.||http://cx14726.tmweb.ru/images/рс721.jpg|1^2
107|1|По калибрам|700|9|0|||||||1^2
62|1|менее 0,8 дюйма|701|107|0|||||||1^2
63|1|0.8 дюйма|702|107|0|||||||1^2
65|1|1,0 дюйм|703|107|0|||||||1^2
125|1|1,1 дюйма|704|107|0|||||||1^2
64|1|1.2 дюйма|705|107|0|||||||1^2
66|1|1,25 дюйма|706|107|0|||||||1^2
67|1|более 1,3 дюйма|707|107|0|||||||1^2
68|1|Комбинированные|708|107|0|||||||1^2
114|1|Кол. залпов|710|9|0|||||||1^2
115|1|менее 10 залпов|711|114|0|||||||1^2
116|1|10-19 залпов|712|114|0|||||||1^2
117|1|20-29 залпов|713|114|0|||||||1^2
118|1|30-39 залпов|714|114|0|||||||1^2
119|1|40-49 залпов|715|114|0|||||||1^2
120|1|50-69 залпов|716|114|0|||||||1^2
121|1|70-99 залпов|717|114|0|||||||1^2
122|1|100-149 залпов|718|114|0|||||||1^2
123|1|150-199 залпов|719|114|0|||||||1^2
72|1|Многоуровневый|720|9|0|||||||1^2
124|1|более 200 залпов|720|114|0|||||||1^2
73|1|С оконцовкой|725|9|0|||||||1^2
69|1|Веерные|730|9|0|||||||1^2
70|1|С фонтаном|735|9|0|||||||1^2
