Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Макс скидка|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Годен до|Срок годности|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Страна происх.|Сертификат|Сертификат полный|ГТД|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
16|1|Световое фейерверк-шоу "Волшебный фонарь"|21|1018.50|10|0|477.95||||||2170|2170|1|4|1|1|4||4||||||0.000000|0.000000|0.000000|0.750000||1|||0|0|1|за 1 шт.|2|                    |                                                                                                                                                                                                                                                          |                         ||||<br><BR>||Прочее Световое фейерверк-шоу "Волшебный фонарь" 2170 ОПТОМ                                                                                                                                                                                                   |                                                                                                                                                                                                                                                              |У нас Вы можете купить Прочее Световое фейерверк-шоу "Волшебный фонарь" 2170 ОПТОМ по самым низким ценам!                                                                                                                                                     ||||1|||1|http://cx14726.tmweb.ru/images/2170.jpg|1|||new||||2|1^2|1|1|
17|1|Световая бенгальская свеча "Звёздная пыль"|21|147.87|10|0|77.00||||||2402|2402|1|4|1|1|36||4||||||0.000000|0.000000|0.000000|0.069444||1|||0|0|1|за 1 шт.|2|                    |                                                                                                                                                                                                                                                          |                         ||||<br><BR>||Прочее Световая бенгальская свеча "Звёздная пыль" 2402 ОПТОМ                                                                                                                                                                                                  |                                                                                                                                                                                                                                                              |У нас Вы можете купить Прочее Световая бенгальская свеча "Звёздная пыль" 2402 ОПТОМ по самым низким ценам!                                                                                                                                                    ||||1|||1|http://cx14726.tmweb.ru/images/2402.jpg|1|||new||||2|1^2|1|1|
18|1|Светящаяся ракета "Дракон"|21|636.13|10|0|326.98||||||2406|2406|1|4|1|1|6||4||||||0.000000|0.000000|0.000000|0.333333||1|||0|0|1|за 1 шт.|2|                    |                                                                                                                                                                                                                                                          |                         ||||<br><BR>||Прочее Светящаяся ракета "Дракон" 2406 ОПТОМ                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                              |У нас Вы можете купить Прочее Светящаяся ракета "Дракон" 2406 ОПТОМ по самым низким ценам!                                                                                                                                                                    ||||1|||1|http://cx14726.tmweb.ru/images/2406.jpg|1|||new||||2|1^2|1|1|
19|1|Помповый бластер "Римская свеча"|21|636.13|10|0|288.04||||||2408|2408|1|4|1|1|6||4||||||0.000000|0.000000|0.000000|0.500000||1|||0|0|1|за 1 шт.|2|                    |                                                                                                                                                                                                                                                          |                         ||||<br><BR>||Прочее Помповый бластер "Римская свеча" 2408 ОПТОМ                                                                                                                                                                                                            |                                                                                                                                                                                                                                                              |У нас Вы можете купить Прочее Помповый бластер "Римская свеча" 2408 ОПТОМ по самым низким ценам!                                                                                                                                                              ||||1|||1|http://cx14726.tmweb.ru/images/2408.jpg|1|||new||||2|1^2|1|1|
20|1|Светящаяся ракета "Молния"|21|254.62|10|0|121.00||||||2410|2410|1|4|1|1|8||4||||||0.000000|0.000000|0.000000|0.375000||1|||0|0|1|за 1 шт.|2|                    |                                                                                                                                                                                                                                                          |                         ||||<br><BR>||Прочее Светящаяся ракета "Молния" 2410 ОПТОМ                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                              |У нас Вы можете купить Прочее Светящаяся ракета "Молния" 2410 ОПТОМ по самым низким ценам!                                                                                                                                                                    ||||1|||1|http://cx14726.tmweb.ru/images/2410.jpg|1|||new||||2|1^2|1|1|
21|1|Световой фейерверк - шоу "Весёлая карусель"|21|381.50|10|0|193.55||||||2412|2412|1|4|1|1|20||4||||||0.000000|0.000000|0.000000|0.250000||1|||0|0|1|за 1 шт.|2|                    |                                                                                                                                                                                                                                                          |                         ||||<br><BR>||Прочее Световой фейерверк - шоу "Весёлая карусель" 2412 ОПТОМ                                                                                                                                                                                                 |                                                                                                                                                                                                                                                              |У нас Вы можете купить Прочее Световой фейерверк - шоу "Весёлая карусель" 2412 ОПТОМ по самым низким ценам!                                                                                                                                                   ||||1|||1|http://cx14726.tmweb.ru/images/2412.jpg|1|||new||||2|1^2|1|1|
22|1|Свистящие шары "Весёлый проныра"|21|381.50|10|0|181.50||||||2415|2415|1|4|1|1|6||4||||||0.000000|0.000000|0.000000|0.166667||1|||0|0|1|за 1 шт.|2|                    |                                                                                                                                                                                                                                                          |                         ||||<br><BR>||Прочее Свистящие шары "Весёлый проныра" 2415 ОПТОМ                                                                                                                                                                                                            |                                                                                                                                                                                                                                                              |У нас Вы можете купить Прочее Свистящие шары "Весёлый проныра" 2415 ОПТОМ по самым низким ценам!                                                                                                                                                              ||||1|||1|http://cx14726.tmweb.ru/images/2415.jpg|1|||new||||2|1^2|1|1|
24|1|Шоу конусных фонтанов "Огненная фантазия"|21|1315.12|10|0|549.45||||||2451|2451|1|4|1|1|4||4||||||0.000000|0.000000|0.000000|0.750000||1|||0|0|1|за 1 шт.|2|                    |                                                                                                                                                                                                                                                          |                         ||||<br><BR>||Прочее Шоу конусных фонтанов "Огненная фантазия" 2451 ОПТОМ                                                                                                                                                                                                   |                                                                                                                                                                                                                                                              |У нас Вы можете купить Прочее Шоу конусных фонтанов "Огненная фантазия" 2451 ОПТОМ по самым низким ценам!                                                                                                                                                     ||||1|||1|http://cx14726.tmweb.ru/images/2451.jpg|1|||new||||2|1^2|1|1|
70|1|Зимняя сказка (1,0" х 48)|9^65^71^74^78^87^107^109^114^119|2880.00|100|0|1584.00||||||DF701010048|DF701010048|1|14|1|1|4|07-18|1||||||0.000000|0.000000|0.000000|3.000000||1|||0|0|1|за 1 шт.|1|ЦЦ07.А.00413        |ЦЦ07.А.00413 0328099 "ПИРОТЭКС" ООО "Стэнтон" 14/11-78 от 28.11.2014 08.10.2015-07.10.2018                                                                                                                                                                |10130080/070714/0013188  ||||<br><BR>||Батареи салютов Зимняя сказка (1,0" х 48) DF701010048 ОПТОМ                                                                                                                                                                                                   |                                                                                                                                                                                                                                                              |У нас Вы можете купить Батареи салютов Зимняя сказка (1,0" х 48) DF701010048 ОПТОМ по самым низким ценам!                                                                                                                                                     ||||1|||1|http://cx14726.tmweb.ru/images/df701010048.jpg^http://cx14726.tmweb.ru/images/df701010048-1.jpg^http://cx14726.tmweb.ru/images/df701010048-2.jpg|1|Количество залпов:48:1^Калибр, дюйм:1:2^Время, сек.:0:4||new||||2|1|1|1|
71|1|Праздник жизни (1,2" х 20)|9^64^107^114^117|2000.00|100|0|1100.00||||||DF701012020|DF701012020|1|14|1|1|6|07-18|1||||||0.000000|0.000000|0.000000|1.833333||1|||0|0|1|за 1 шт.|1|ЦЦ07.А.00413        |ЦЦ07.А.00413 0328099 "ПИРОТЭКС" ООО "Стэнтон" 14/11-78 от 28.11.2014 08.10.2015-07.10.2018                                                                                                                                                                |10130080/070714/0013188  ||||<br><BR>||Батареи салютов Праздник жизни (1,2" х 20) DF701012020 ОПТОМ                                                                                                                                                                                                  |                                                                                                                                                                                                                                                              |У нас Вы можете купить Батареи салютов Праздник жизни (1,2" х 20) DF701012020 ОПТОМ по самым низким ценам!                                                                                                                                                    ||||1|||1|http://cx14726.tmweb.ru/images/df701012020.jpg^http://cx14726.tmweb.ru/images/df701012020-1.jpg^http://cx14726.tmweb.ru/images/df701012020-2.jpg|1|Количество залпов:20:1^Калибр, дюйм:1.2:2^Время, сек.:0:4||new||||2|1|1|1|
