Артикул|Кол-во|Склад ID
2170|8|1
2402|36|1
2406|12|1
2408|12|1
2410|48|1
2412|40|1
2415|12|1
2451|8|1
DF701010048|1|1
DF701012020|5|1
DF701012100|2|1
DF701015025|3|1
DF701015036|2|1
DF701015050|1|1
DF702012020|6|1
DF702015036|2|1
DF702015050|4|1
F11049|40|1
GHC02049125|1|1
K00203|579|1
K00204|6|1
K00208|635|1
K0202-1|948|1
K0202-2|237|1
K0204CE|67|1
R0445|118|1
R09012|47|1
S01002|268|1
TKF358|319|1
TKF361|309|1
TXB021|24|1
TXB022|5|1
TXB038|179|1
TXB039|47|1
TXB045|413|1
TXB070|321|1
TXB071|134|1
TXB073|36|1
TXB132|737|1
TXB133|119|1
TXB171|137|1
TXB172|86|1
TXB173|62|1
TXB174|34|1
TXB189|4|1
TXB191|1|1
TXB205|112|1
TXB206|108|1
TXB216|12|1
TXB271|77|1
TXB280C|104|1
TXB284|120|1
TXB293|578|1
TXB315|36|1
TXB316|29|1
TXB389|153|1
TXB394|18|1
TXB422|76|1
TXB462|134|1
TXB497|110|1
TXB565|5|1
TXB592|4|1
TXB603|36|1
TXB644|117|1
TXB646|188|1
TXB662|10|1
TXB664|35|1
TXB667|30|1
TXB671|2|1
TXB756|38|1
TXB801|30|1
TXB821|440|1
TXB826|147|1
TXB827|201|1
TXB849|57|1
TXB906|12|1
TXB908|8|1
TXC419|112|1
TXC494|559|1
TXC495|807|1
TXC496|2|1
TXC842|200|1
TXC861|24|1
TXD484|285|1
TXF359|660|1
TXF426|101|1
TXF637|476|1
TXF748-А|2359|1
TXF837|64|1
TXF838|18|1
TXM434|21|1
TXP001|194|1
TXP066|104|1
TXP082|553|1
TXP226|88|1
TXP384|5|1
TXP485|341|1
TXP786|84|1
TXR141|30|1
TXR371|254|1
TXR606|138|1
YHW009|20|1
А7407|2|1
А7422|1|1
А7424|1|1
А7504|1|1
А7515|1|1
А7528|1|1
А7600|1|1
А7605|2|1
А7606|2|1
А7607|1|1
А7609|1|1
А7610|1|1
А7611|1|1
А7612|1|1
А7613|1|1
А7616|1|1
А7617|1|1
А7618|2|1
А7619|2|1
А7623|1|1
А7642|2|1
А7644|2|1
А7667|2|1
А7668|2|1
БСП0530012|1|1
Е-С226|31|1
Е-С250|1|1
Е-С258|3|1
Е-С350|2|1
Е-С440|17|1
Е-С463|10|1
Е-С501|1|1
Е-С640|2|1
Е-С680|2|1
ЕС117|1|1
ЕС118|1|1
ЕС150|1|1
ЕС217|1|1
ЕС300|2|1
ЕС301|2|1
ЕС304|2|1
ЕС307|3|1
ЕС308|4|1
ЕС315|3|1
Р1030|82|1
Р1040|161|1
Р1050|5|1
Р1060|70|1
Р1080|291|1
Р1082|7|1
Р1084|236|1
Р1090|48|1
Р1106|554|1
Р1202|42|1
Р1400|93|1
Р1600|139|1
Р1750|11|1
Р1751|10|1
Р1752|10|1
Р1753|9|1
Р2010|90|1
Р2300|57|1
Р2440|156|1
Р2600|41|1
Р3010|104|1
Р3100|67|1
Р3110|76|1
Р3200|290|1
Р3520|62|1
Р3530|95|1
Р4066|24|1
Р4070|31|1
Р4110|11|1
Р4115|8|1
Р4206|66|1
Р4210|35|1
Р4213|263|1
Р4350|109|1
Р4810|52|1
Р5080|10|1
Р5510|56|1
Р5512|76|1
Р5516|40|1
Р5540|77|1
Р5541|66|1
Р5602|1|1
Р5604|42|1
Р5606|42|1
Р5726|51|1
Р5800|20|1
Р6210|29|1
Р6290|1|1
Р6720|113|1
Р6780|40|1
Р7010|62|1
Р7040|56|1
Р7064|91|1
Р7065|85|1
Р7072|21|1
Р7130|96|1
Р7160|62|1
Р7200|86|1
Р7210|37|1
Р7215|28|1
Р7300|62|1
Р7302|71|1
Р7311|91|1
Р7312|49|1
Р7321|34|1
Р7325|24|1
Р7326|10|1
Р7328|14|1
Р7333|10|1
Р7342|56|1
Р7350|64|1
Р7360|15|1
Р7453|1|1
Р7456|37|1
Р7460|5|1
Р7462|49|1
Р7463|33|1
Р7471|45|1
Р7473|21|1
Р7482|39|1
Р7486|45|1
