Артикул|Цена|Кол-во|Склад ID
2170|1232.39|8|1
2402|178.92|31|1
2406|769.72|12|1
2408|769.72|12|1
2410|308.09|48|1
2412|461.62|40|1
2415|461.62|12|1
2451|1591.30|8|1
DF701010048|2880.00|1|1
DF701012020|2000.00|5|1
DF701012100|10000.00|2|1
DF701015025|3700.00|2|1
DF701015036|5250.00|2|1
DF702012020|2000.00|5|1
DF702015036|5250.00|2|1
DF702015050|7400.00|4|1
F11049|1415.70|39|1
K00203|118.92|576|1
K00204|543.77|0|1
K00208|94.38|615|1
K0202-1|188.76|922|1
K0202-2|254.71|213|1
K0204CE|792.79|61|1
R0445|396.40|104|1
R09012|722.94|40|1
S01002|358.64|265|1
TKF358|90.00|304|1
TKF361|86.00|289|1
TXB021|1642.19|18|1
TXB022|2595.41|4|1
TXB038|679.52|160|1
TXB039|1510.06|45|1
TXB045|639.90|400|1
TXB070|528.52|310|1
TXB071|528.52|124|1
TXB073|1477.02|31|1
TXB132|132.13|716|1
TXB133|264.26|107|1
TXB171|649.33|128|1
TXB172|1066.48|84|1
TXB173|1340.17|60|1
TXB174|604.02|26|1
TXB189|2359.46|3|1
TXB205|654.99|106|1
TXB206|539.83|101|1
TXB216|877.72|10|1
TXB271|587.99|71|1
TXB280C|802.22|94|1
TXB284|931.70|114|1
TXB293|196.26|575|1
TXB315|1094.80|34|1
TXB316|1094.80|25|1
TXB389|1179.74|151|1
TXB394|1443.99|16|1
TXB422|230.29|63|1
TXB462|254.83|123|1
TXB497|747.47|103|1
TXB565|1208.98|3|1
TXB592|1496.84|3|1
TXB644|773.90|103|1
TXB646|773.90|176|1
TXB664|1618.59|32|1
TXB667|1604.44|27|1
TXB756|1510.06|37|1
TXB801|1321.30|28|1
TXB821|254.83|429|1
TXB826|641.77|130|1
TXB827|641.77|188|1
TXB849|1486.46|54|1
TXB906|1746.01|9|1
TXB908|3020.11|7|1
TXC419|233.11|105|1
TXC494|132.13|528|1
TXC495|165.17|749|1
TXC842|339.77|198|1
TXC861|235.95|18|1
TXD484|475.53|278|1
TXF359|146.29|647|1
TXF426|13.21|59|1
TXF637|162.32|468|1
TXF748-А|31.16|2108|1
TXF837|500.20|62|1
TXF838|1944.20|17|1
TXM434|805.06|21|1
TXP001|302.02|192|1
TXP066|377.52|101|1
TXP082|990.99|551|1
TXP226|481.34|87|1
TXP384|169.88|4|1
TXP485|217.07|339|1
TXP786|441.70|81|1
TXR141|1038.17|27|1
TXR371|254.83|248|1
