id;Имя;Код;Категория;Базовая цена;Количество;Процент скидки
111;Ахтунг (уп, 100 шт,) ТЕРОЧНЫЕ;K00203;Петарды;118,92;381;25
116;Ахтунг (уп, 3 шт,) ТЕРОЧНЫЕ;K00208;Петарды;94,38;426;25
119;К0202Петарды (1уп-20шт,) ТЕРОЧНЫЕ;K0202-1;Петарды;188,76;796;35
127;Crazy robot     (уп, 12 шт,) ФИТИЛЬНЫЕ;S01002;Петарды;358,64;160;17
130;Фонтан тортовый 12 см;TKF358;Фонтаны;90,00;115;23
131;Фонтан тортовый 10 см;TKF361;Фонтаны;86,00;115;23
138;"SANSATION , 27 сек (0,80 x 25)""";TXB045;Батареи салютов;639,90;148;17
140;"PLUS+ , 16 сек (0,80 x 16)""";TXB070;Батареи салютов;528,52;152;17
148;"КАТЮША (50 выстрелов) (0,30 x 50)""";TXB132;Батареи салютов;132,13;535;37
169;"КАТЮША (16 выстрелов) (0,30 x 16)""";TXB293;Батареи салютов;196,26;478;37
192;"MEADOW, 25 сек (0,80 x 25)""";TXB646;Батареи салютов;773,90;100;30
211;"YELLOW PURPLE PEONY, 15сек (0,80 x 9)""";TXB821;Батареи салютов;254,83;187;33
213;"Лезгинка 28 сек (0,80 x 19)""";TXB827;Батареи салютов;641,77;113;22
224;Римская свеча 10 выстр,;TXC494;Римские свечи;132,13;147;23
225;Римская свеча 15 выстр,;TXC495;Римские свечи;165,17;307;33
238;Тортовые свечи 25 см;TXF359;Фонтаны;146,29;554;33
257;ПЕТАРДЫ U2601 Душки (бертолетова соль);TXP082;Петарды;990,99;525;33
270;Ракеты колпаки (1уп,-12шт,);TXR371;Ракеты;254,83;93;31
272;Ракеты (1уп,-6шт,);TXR606;Ракеты;471,89;34;27
347;"Малиновые сны (1,25х150)""";А7619;Батареи салютов;17600,00;3;32
351;"Эксклюзив (1,2 х 200)""";А7623;Батареи салютов;25300,00;4;39
352;"Москва Златоглавая (1,25 х 150)""";А7642;Батареи салютов;16000,00;1;31
354;"Ромео и Джульетта (1,25х150)""";А7644;Батареи салютов;17600,00;3;32
356;"Вечерний звон (1,25х200)""";А7667;Батареи салютов;23000,00;1;33
357;"Подмосковные вечера (1,25х250)""";А7668;Батареи салютов;28600,00;6;39
374;"Зевс (1,2 х 300)""";БСП0530012;Батареи салютов;32700,00;1;35
511;"Бум Бокс (1,0-1,2 х 250)""";ЕС307;Батареи салютов;25500,00;3;35
512;"Барвиха (0,8-1,0-1,2 х 290)""";ЕС308;Батареи салютов;27500,00;4;39
516;"Прототип (1,0-1,2 х 177)""";ЕС315;Батареи салютов;17500,00;3;32
584;Лунный цветок (уменьшена фасовка);Р3110;Вертушки;128,00;139;23
585;Акробат;Р3200;Вертушки;85,00;165;23
935;"Птица-тройка (78: 1,25  2,0"")""";Р8272;Батареи салютов;15550,00;2;31
947;"Русский размах (300: 0,8 1,0"" 1,25"" 1,8"")""";Р8315;Батареи салютов;36100,00;1;37
963;"Дерзкая роскошь (190: 0,8, 1,25"")""";Р8452;Батареи салютов;17370,00;2;32
986;"Профессионал (2 блока: 1,25х 200)""";Р8605;Батареи салютов;48550,00;6;43
1565;"Хлопушка Супер"" с сюрпризом""";ТР107;Хлопушки;52,08;691;7
1567;"Хлопушка Макси с сюрпризом ""Маска""""";ТР109;Хлопушки;34,61;544;7
1579;Бенг, свечи 210;ТР156;Бенгальские свечи;16,34;744;7
1706;Галантный век (0,8''x300);БСП0130008;Батареи салютов;18000,00;3;33
1707;Испаньола ( 1''x 300  );БСП0230010;Батареи салютов;27000,00;3;35
1724;"Снегурочка  (1,2-1,5""х 118)""";C080;Батареи салютов;16200,00;2;31
1764;"Жизнь удалась (1,2 х 111)""";EC331;Батареи салютов;14590,00;6;40
1782;"ИЛЛЮЗИЯ"" (0,8+1+1,2+1,5 x200)""";PRO108 ;Батареи салютов;18600,00;2;33
1806;"Бородино (1,25 х 150)""";Р8595;Батареи салютов;15440,00;1;31
1809;"Светопреставление (1,6 х 200)""";Р8650;Батареи салютов;35200,00;2;35
1813;"Громовержец (2,0 х 51)""";Р8641;Батареи салютов;15550,00;1;31
1818;"«КАРНАВАЛЬНАЯ НОЧЬ» (1,25-1,8"" х 114)""";Р8301;Батареи салютов;19230,00;2;33
1819;"Эксклюзив (0,8-1,0""- 1,25""-1,5"" x 146)""";Р8320;Батареи салютов;17700,00;1;32
1820;«ОТ ЗАКАТА ДО РАССВЕТА» (0,8”,-1,25”,-2” х 158);Р8323;Батареи салютов;19980,00;2;33
1821;«ЭЛИТНЫЙ» (0,8”- 1,25” х 198);Р8370;Батареи салютов;23000,00;1;33
1822;"«ЗОЛОТОЙ РЕЗЕРВ» (0,6-1""- 1,25"" х 272)""";Р8380;Батареи салютов;21020,00;4;35
1894;"Для уважаемых людей (202 : 1,0  1,2"")""";РС914;Батареи салютов;27858,00;1;35
1908;"Монте-Карло (1,2 х 150)""";ЕС283;Батареи салютов;22490,00;2;33
1911;"РуСалют (1,2 х 150)""";ЕС305;Батареи салютов;16500,00;2;31
1912;"1000 и 1 ночь (1,2х 120)""";ЕС330;Батареи салютов;17990,00;2;32
1914;"Спецзаказ  290 (1,2 х 290)""";ЕС384;Батареи салютов;33590,00;2;35
1915;"Срецзаказ 256 (1,2 х 256)""";ЕС385;Батареи салютов;37990,00;2;37
1921;"Сочи (1,25х150)""";А7620;Батареи салютов;17600,00;2;32
1965;"Овен (0,8 х 16)""";TXB211;Батареи салютов;528,52;175;23
