id_product;reference;r1;r2;r3;rname;rtor
16;2170;1;1;4;Волшебн. фонарь;1
17;2402;1;1;36;Звёздная пыль;1
18;2406;1;1;6;Дракон;1
19;2408;1;1;6;Помп. бластер;1
20;2410;1;1;8;Молния;1
21;2412;1;1;20;Весёлая карусель;1
22;2415;1;1;6;Весёлый проныра;1
24;2451;1;1;4;Огненая фантазия;1
70;DF701010048;1;1;4;Зимняя сказка;1
71;DF701012020;1;1;6;Праздник жизни;1
72;DF701012100;1;1;1;Свадебный салют;1
73;DF701015025;1;1;4;С Новым Годом!;1
78;DF702015050;1;1;2;Совет да любовь;1
92;F11049;5;10;8;Matabrujas;10
111;K00203;100;1;50;Ахтунг;1
115;K00204;12;12;16;Ахтунг;12
116;K00208;3;1;100;Ахтунг;1
119;K0202-1;20;10;50;Петарды;10
120;K0202-2;20;10;50;Петарды;10
121;K0204CE;12;12;16;Петарды;12
122;R0445;12;12;20;Свистульки;12
123;R09012;1;1;15;Миномёт;1
127;S01002;12;1;72;Crazy robot;12
130;TKF358;4;1;160;Торт. свечи 12 см;1
131;TKF361;4;1;160;Торт. свечи 10 см;1
133;TXB021;1;1;4;Tourbillion;1
134;TXB022;1;1;4;37 Frankee;1
135;TXB038;1;1;9;GOLDEN WATERFALL;1
136;TXB039;1;1;6;ENDURO;1
138;TXB045;1;1;18;SANSATION;1
140;TXB070;1;1;12;PLUS+;1
141;TXB071;1;1;12;DARK AGE;1
142;TXB073;1;1;8;Champion;1
146;TXB093;1;1;6;ROYAL;1
148;TXB132;1;1;60;КАТЮША (50);1
149;TXB133;1;1;30;КАТЮША (100);1
150;TXB171;1;1;18;TREE COLOURS;1
151;TXB172;1;1;12;COCO;1
152;TXB173;1;1;8;NIGHT AURA;1
153;TXB174;1;1;15;LILY MAGNOLIA;1
154;TXB189;1;1;4;TURBO BOX;1
156;TXB205;1;1;12;RAINBOW;1
157;TXB206;1;1;24;PURPLE TAIL;1
160;TXB216;1;1;12;CANCER;1
165;TXB271;1;1;15;Миномёт 8 ш.;1
166;TXB280C;1;1;12;BATTLEFIELD;1
168;TXB284;1;1;12;Paris;1
169;TXB293;4;1;40;КАТЮША (16);4
172;TXB315;1;1;12;IMPACT;1
173;TXB316;1;1;12;APRIL;1
175;TXB389;1;1;12;SILVER DRAGON;1
176;TXB394;1;1;6;PASSAT;1
177;TXB422;1;1;40;LITTLE PALM TREE;1
179;TXB462;1;1;48;RED PEONY;1
181;TXB497;1;1;12;HAPPY HOLIDAY;1
182;TXB498;1;1;36;MAGIC KEY;1
183;TXB561;1;1;12;JULY;1
186;TXB565;1;1;12;DECEMBER;1
187;TXB592;1;1;6;MULTI BROCADE;1
188;TXB603;1;1;36;THE MAGIC KEY;1
190;TXB644;1;1;12;COLOR PEONY;1
192;TXB646;1;1;18;MEADOW;1
196;TXB662;1;1;96;Ballet;1
197;TXB664;1;1;6;WEDNESDAY;1
199;TXB667;1;1;6;Saturday;1
205;TXB756;1;1;6;X-EMOTION;1
208;TXB801;1;1;6;TRANDY;1
211;TXB821;1;1;48;YELLOW PURPLE;1
212;TXB826;1;1;18;MAGIA NOCY;1
213;TXB827;1;1;18;PANORAMA;1
214;TXB828;1;1;12;DOTYK PRZYGODY;1
215;TXB849;1;1;6;X-TRANS;1
219;TXB906;1;1;4;CRAZY BOX;1
220;TXB908;1;1;4;HIT BOX;1
223;TXC419;2;1;48;Kalejdoskop;2
224;TXC494;12;1;40;Римская свеча-10;12
225;TXC495;12;1;40;Римская свеча-15;12
227;TXC842;6;1;40;Rafa;6
229;TXC861;2;1;30;Римская свеча;2
232;TXD484;6;12;20;Жуки с разрывом;12
238;TXF359;4;1;72;Торт. свечи 25 см;1
240;TXF426;10;1;500;Бенг. свечи 17 см;1
243;TXF637;6;1;80;Торт. свечи 18 см;1
246;TXF748-А;10;1;200;Бенг. свечи 28 см;1
249;TXF837;6;1;20;Hekla;6
250;TXF838;2;1;9;Ararat;2
251;TXM434;1;1;10;Миномёт 6 ш.;1
253;TXP001;5;1;48;Ахтунг;1
254;TXP066;5;1;32;Динамит;1
257;TXP082;50;50;6;Душки;50
258;TXP226;10;10;20;Gorilla bomb;10
260;TXP384;20;1;60;Трескучий гром;1
262;TXP485;36;1;40;Grom 2;1
265;TXP786;6;12;16;Зеленые шарики;12
269;TXR141;9;1;10;Big whale 3;9
270;TXR371;12;1;48;Orion;1
272;TXR606;6;1;24;Assortment;6
287;YHW009;1;1;6;SONG;1
329;А7515;1;1;2;Затерянный мир;1
332;А7528;1;1;2;Ночной Дозор;1
334;А7600;1;1;1;Снежный Вальс;1
335;А7605;1;1;1;Третий Рим;1
336;А7606;1;1;1;Колизей;1
337;А7607;1;1;1;Обручал. кольца;1
339;А7609;1;1;1;Хозяин Тайги;1
340;А7610;1;1;1;Золотая серия 100;1
341;А7611;1;1;1;Дикая орхидея;1
342;А7612;1;1;1;Жемчужные волны;1
343;А7613;1;1;1;В гостях у сказки;1
344;А7616;1;1;1;Новогод. Карусель;1
345;А7617;1;1;1;Карнавальная ночь;1
346;А7618;1;1;1;Поле Чудес;1
347;А7619;1;1;1;Малиновые сны;1
351;А7623;1;1;1;Эксклюзив;1
352;А7642;1;1;1;Москва Златоглав.;1
354;А7644;1;1;1;Ромео и Джульетта;1
356;А7667;1;1;1;Вечерний звон;1
357;А7668;1;1;1;Подмосков. вечера;1
374;БСП0530012;1;1;1;Зевс;1
387;Е-С215;1;1;24;Будем!;0
391;Е-С226;1;1;24;Ха-ра-шо!;1
399;Е-С268;1;1;12;Новогод;0
407;Е-С350;1;1;4;Роял де Люкс;1
414;Е-С440;1;1;12;Полный песец;1
418;Е-С463;1;1;12;Есть контакт!;1
422;Е-С535;1;1;3;Разбуди соседей! ;0
429;Е-С650;1;1;8;Новогодн. Шумиха;1
432;Е-С680;1;1;4;По-нашему!;1
497;ЕС217;1;1;1;ПироАрт;1
504;ЕС300;1;1;1;Рублевский;1
505;ЕС301;1;1;1;Профессионал;1
508;ЕС304;1;1;1;Пояс Ориона;1
511;ЕС307;1;1;1;Бум Бокс;1
512;ЕС308;1;1;1;Барвиха;1
516;ЕС315;1;1;1;Прототип;1
526;Р1030;6;12;16;Хлопающие шары;12
