id;Имя;Код;Категория;Базовая цена;Количество;Процент скидки;Shop
111;Ахтунг (уп, 100 шт,) ТЕРОЧНЫЕ;K00203;Петарды; 118,92р. ;381;25;17
116;Ахтунг (уп, 3 шт,) ТЕРОЧНЫЕ;K00208;Петарды; 94,38р. ;426;25;17
119;К0202Петарды (1уп-20шт,) ТЕРОЧНЫЕ;K0202-1;Петарды; 188,76р. ;796;35;17
127;Crazy robot     (уп, 12 шт,) ФИТИЛЬНЫЕ;S01002;Петарды; 358,64р. ;160;17;17
130;Фонтан тортовый 12 см;TKF358;Фонтаны; 90,00р. ;115;23;17
131;Фонтан тортовый 10 см;TKF361;Фонтаны; 86,00р. ;115;23;17
138;"SANSATION , 27 сек (0,80 x 25)""";TXB045;Батареи салютов; 639,90р. ;148;17;17
140;"PLUS+ , 16 сек (0,80 x 16)""";TXB070;Батареи салютов; 528,52р. ;152;17;17
148;"КАТЮША (50 выстрелов) (0,30 x 50)""";TXB132;Батареи салютов; 132,13р. ;535;37;17
169;"КАТЮША (16 выстрелов) (0,30 x 16)""";TXB293;Батареи салютов; 196,26р. ;478;37;17
192;"MEADOW, 25 сек (0,80 x 25)""";TXB646;Батареи салютов; 773,90р. ;100;30;17
211;"YELLOW PURPLE PEONY, 15сек (0,80 x 9)""";TXB821;Батареи салютов; 254,83р. ;187;33;17
213;"Лезгинка 28 сек (0,80 x 19)""";TXB827;Батареи салютов; 641,77р. ;113;22;17
224;Римская свеча 10 выстр,;TXC494;Римские свечи; 132,13р. ;147;23;17
225;Римская свеча 15 выстр,;TXC495;Римские свечи; 165,17р. ;307;33;17
238;Тортовые свечи 25 см;TXF359;Фонтаны; 146,29р. ;554;33;17
257;ПЕТАРДЫ U2601 Душки (бертолетова соль);TXP082;Петарды; 990,99р. ;525;33;17
270;Ракеты колпаки (1уп,-12шт,);TXR371;Ракеты; 254,83р. ;93;31;17
272;Ракеты (1уп,-6шт,);TXR606;Ракеты; 471,89р. ;34;27;17
347;"Малиновые сны (1,25х150)""";А7619;Батареи салютов; 17 600,00р. ;3;32;17
351;"Эксклюзив (1,2 х 200)""";А7623;Батареи салютов; 25 300,00р. ;4;39;17
352;"Москва Златоглавая (1,25 х 150)""";А7642;Батареи салютов; 16 000,00р. ;1;31;17
354;"Ромео и Джульетта (1,25х150)""";А7644;Батареи салютов; 17 600,00р. ;3;32;17
356;"Вечерний звон (1,25х200)""";А7667;Батареи салютов; 23 000,00р. ;1;33;17
357;"Подмосковные вечера (1,25х250)""";А7668;Батареи салютов; 28 600,00р. ;6;39;17
374;"Зевс (1,2 х 300)""";БСП0530012;Батареи салютов; 32 700,00р. ;1;35;17
511;"Бум Бокс (1,0-1,2 х 250)""";ЕС307;Батареи салютов; 25 500,00р. ;3;35;17
512;"Барвиха (0,8-1,0-1,2 х 290)""";ЕС308;Батареи салютов; 27 500,00р. ;4;39;17
516;"Прототип (1,0-1,2 х 177)""";ЕС315;Батареи салютов; 17 500,00р. ;3;32;17
584;Лунный цветок (уменьшена фасовка);Р3110;Вертушки; 128,00р. ;139;23;17
585;Акробат;Р3200;Вертушки; 85,00р. ;165;23;17
935;"Птица-тройка (78: 1,25  2,0"")""";Р8272;Батареи салютов; 15 550,00р. ;2;31;17
947;"Русский размах (300: 0,8 1,0"" 1,25"" 1,8"")""";Р8315;Батареи салютов; 36 100,00р. ;1;37;17
963;"Дерзкая роскошь (190: 0,8, 1,25"")""";Р8452;Батареи салютов; 17 370,00р. ;2;32;17
986;"Профессионал (2 блока: 1,25х 200)""";Р8605;Батареи салютов; 48 550,00р. ;6;43;17
1565;"Хлопушка Супер"" с сюрпризом""";ТР107;Хлопушки; 52,08р. ;691;7;17
1567;"Хлопушка Макси с сюрпризом ""Маска""""";ТР109;Хлопушки; 34,61р. ;544;7;17
1579;Бенг, свечи 210;ТР156;Бенгальские свечи; 16,34р. ;744;7;17
1706;Галантный век (0,8''x300);БСП0130008;Батареи салютов; 18 000,00р. ;3;33;17
1707;Испаньола ( 1''x 300  );БСП0230010;Батареи салютов; 27 000,00р. ;3;35;17
1724;"Снегурочка  (1,2-1,5""х 118)""";C080;Батареи салютов; 16 200,00р. ;2;31;17
1764;"Жизнь удалась (1,2 х 111)""";EC331;Батареи салютов; 14 590,00р. ;6;40;17
1782;"ИЛЛЮЗИЯ"" (0,8+1+1,2+1,5 x200)""";PRO108 ;Батареи салютов; 18 600,00р. ;2;33;17
1806;"Бородино (1,25 х 150)""";Р8595;Батареи салютов; 15 440,00р. ;1;31;17
1809;"Светопреставление (1,6 х 200)""";Р8650;Батареи салютов; 35 200,00р. ;2;35;17
1813;"Громовержец (2,0 х 51)""";Р8641;Батареи салютов; 15 550,00р. ;1;31;17
1818;"«КАРНАВАЛЬНАЯ НОЧЬ» (1,25-1,8"" х 114)""";Р8301;Батареи салютов; 19 230,00р. ;2;33;17
1819;"Эксклюзив (0,8-1,0""- 1,25""-1,5"" x 146)""";Р8320;Батареи салютов; 17 700,00р. ;1;32;17
1820;«ОТ ЗАКАТА ДО РАССВЕТА» (0,8”,-1,25”,-2” х 158);Р8323;Батареи салютов; 19 980,00р. ;2;33;17
1821;«ЭЛИТНЫЙ» (0,8”- 1,25” х 198);Р8370;Батареи салютов; 23 000,00р. ;1;33;17
1822;"«ЗОЛОТОЙ РЕЗЕРВ» (0,6-1""- 1,25"" х 272)""";Р8380;Батареи салютов; 21 020,00р. ;4;35;17
1894;"Для уважаемых людей (202 : 1,0  1,2"")""";РС914;Батареи салютов; 27 858,00р. ;1;35;17
1908;"Монте-Карло (1,2 х 150)""";ЕС283;Батареи салютов; 22 490,00р. ;2;33;17
1911;"РуСалют (1,2 х 150)""";ЕС305;Батареи салютов; 16 500,00р. ;2;31;17
1912;"1000 и 1 ночь (1,2х 120)""";ЕС330;Батареи салютов; 17 990,00р. ;2;32;17
1914;"Спецзаказ  290 (1,2 х 290)""";ЕС384;Батареи салютов; 33 590,00р. ;2;35;17
1915;"Срецзаказ 256 (1,2 х 256)""";ЕС385;Батареи салютов; 37 990,00р. ;2;37;17
1921;"Сочи (1,25х150)""";А7620;Батареи салютов; 17 600,00р. ;2;32;17
1965;"Овен (0,8 х 16)""";TXB211;Батареи салютов; 528,52р. ;175;23;17
