Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Документ из FoxPro_177|526||313.30|8|0|0
Документ из FoxPro_177|528||211.90|4|0|0
Документ из FoxPro_177|534||280.80|8|0|0
Документ из FoxPro_177|535||300.30|7|0|0
Документ из FoxPro_177|1093||650.52|2|0|0
Документ из FoxPro_177|1095||435.24|3|0|0
Документ из FoxPro_177|583||189.15|8|0|0
Документ из FoxPro_177|584||76.70|14|0|0
Документ из FoxPro_177|588||501.80|3|0|0
Документ из FoxPro_177|1114||150.80|6|0|0
Документ из FoxPro_177|1118||267.80|3|0|0
Документ из FoxPro_177|613||133.25|7|0|0
Документ из FoxPro_177|615||64.35|70|0|0
Документ из FoxPro_177|671||291.20|14|0|0
Документ из FoxPro_177|701||458.25|14|0|0
Документ из FoxPro_177|1229||538.20|6|0|0
Документ из FoxPro_177|1236||265.20|12|0|0
Документ из FoxPro_177|1240||632.45|14|0|0
Документ из FoxPro_177|1242||510.90|6|0|0
Документ из FoxPro_177|707||454.35|7|0|0
Документ из FoxPro_177|715||192.40|34|0|0
Документ из FoxPro_177|717||637.00|31|0|0
Документ из FoxPro_177|1307||362.05|4|0|0
Документ из FoxPro_177|391||324.35|7|0|0
Документ из FoxPro_177|414||642.85|8|0|0
Документ из FoxPro_177|418||721.50|8|0|0
Документ из FoxPro_177|432||1567.80|2|0|0
Документ из FoxPro_177|730||404.30|34|0|0
Документ из FoxPro_177|739||299.00|14|0|0
Документ из FoxPro_177|751||488.80|30|0|0
Документ из FoxPro_177|754||649.35|20|0|0
Документ из FoxPro_177|771||566.80|13|0|0
Документ из FoxPro_177|786||621.40|6|0|0
Документ из FoxPro_177|803||909.35|6|0|0
Документ из FoxPro_177|851||1205.75|6|0|0
Документ из FoxPro_177|855||967.20|15|0|0
Документ из FoxPro_177|1263||421.20|14|0|0
Документ из FoxPro_177|1266||483.60|7|0|0
Документ из FoxPro_177|1268||649.35|14|0|0
Документ из FoxPro_177|1271||649.35|14|0|0
Документ из FoxPro_177|1272||649.35|14|0|0
Документ из FoxPro_177|1328||633.75|14|0|0
Документ из FoxPro_177|1338||650.00|8|0|0
Документ из FoxPro_177|1341||991.90|2|0|0
Документ из FoxPro_177|1342||975.00|19|0|0
Документ из FoxPro_177|1358||2117.70|1|0|0
Документ из FoxPro_177|1406||1293.50|6|0|0
Документ из FoxPro_177|1407||1293.50|7|0|0
Документ из FoxPro_177|1409||1365.00|7|0|0
Документ из FoxPro_177|1410||1365.00|7|0|0
Документ из FoxPro_177|504||8125.00|1|0|0
Документ из FoxPro_177|1578||13.98|345|0|0
Документ из FoxPro_177|1581||21.60|33|0|0
Документ из FoxPro_177|1583||27.04|34|0|0
Документ из FoxPro_177|1587||49.01|33|0|0
Документ из FoxPro_177|1018||45.00|33|0|0
Документ из FoxPro_177|1022||113.40|6|0|0
Документ из FoxPro_177|1025||114.30|6|0|0
Документ из FoxPro_177|1027||133.20|6|0|0
Документ из FoxPro_177|1028||191.70|6|0|0
Документ из FoxPro_177|1029||167.40|6|0|0
Документ из FoxPro_177|935||10107.50|1|0|0
Документ из FoxPro_177|596||553.80|2|0|0
Документ из FoxPro_177|1641||919.60|1|0|0
Документ из FoxPro_177|1642||1064.80|1|0|0
Документ из FoxPro_177|1643||822.80|1|0|0
Документ из FoxPro_177|1645||822.80|1|0|0
Документ из FoxPro_177|1646||968.00|1|0|0
Документ из FoxPro_177|1638||919.60|1|0|0
