id;Код;остаток
1948;977;1082
16;2170;0
17;2402;0
18;2406;3
19;2408;3
20;2410;26
21;2412;25
22;2415;0
24;2451;0
1956;BS13-002;1
1724;C080;2
1885;D0440;0
1823;D1101;44
1824;D1303;50
1825;D1505;61
1826;D1801;100
1827;D3012;60
1828;D5080;40
1829;D7010;4
1830;D7012;101
1831;D7042;39
1845;D7082;20
1833;D7162;26
1834;D7164;33
1835;D7280;18
1836;D7282;43
1837;D7368;8
1838;D7398;13
1839;D7402;12
1840;D7550;11
1700;D7702;3
1701;D7900;0
1841;D7968;8
1842;D7972;11
1702;D7982;0
1703;D8330;4
1843;D8340;3
1844;D8546;4
1752;DF701012019;0
1749;DF701012036;0
1750;DF701012049;1
1753;DF702012019;1
1748;DF702012025;0
1755;DF702012036;2
1754;DF702012100;3
1747;DF703012025;0
1751;DF703012049;0
70;DF701010048;0
71;DF701012020;0
72;DF701012100;0
73;DF701015025;0
78;DF702015050;0
1756;EC170;6
1757;EC201;0
1758;EC215;0
2018;EC219;2
2019;EC220;0
2020;EC221;4
1759;EC230;3
1760;EC232;0
1761;EC234;0
1762;EC236;8
1763;EC240;6
1764;EC331;5
92;F11049;8
1690;GP475;12
1684;GP493;18
1683;GP497/2;33
1685;GP498;0
1686;GP498/2;0
1692;GP510;0
2025;GPH3018;1
1689;GW218-74;42
1949;GW218-90;25
1680;GW218-91;74
1681;GW218-92;37
1682;GW218-97;37
1676;GWL-0010;24
1679;GWL-0012A;0
1962;GWL-0012B;8
1963;GWL-0012C;9
1957;GWM5032;0
1693;GWM5033;0
1958;GWM5034;5
1953;GWM5046;6
1954;GWM5047;5
2026;GWM6603;0
111;K00203;239
115;K00204;0
116;K00208;267
1674;K0201;17
119;K0202-1;671
120;K0202-2;1
121;K0204CE;0
1694;MC098;0
1687;MC107;2
1959;MC118;0
1950;MC122;0
1955;MC136;0
1960;MC150-25B;1
1961;MC175-19;0
1675;P1005;0
1849;P4775;0
1846;P7012;0
1860;PC782;0
1861;PC844;0
1862;PC846;0
1863;PC861;0
1887;PD7048;1
1889;PD7049;0
1890;PD7051;0
1888;PD7061;0
1891;PD7062;0
1892;PD7067;9
1893;PD7068;5
1780;PRO105-2;1
1781;PRO107;0
1782;PRO108;0
122;R0445;2
123;R09012;0
127;S01002;91
1695;SB-13-02;0
1696;SB-19-03;4
1697;SB-25-03;0
1677;SF-398A;3
1678;SF-398В;0
1947;SF-399;7
2024;T6246;22
130;TKF358;43
131;TKF361;8
133;TXB021;4
134;TXB022;0
135;TXB038;23
136;TXB039;6
138;TXB045;6
140;TXB070;74
141;TXB071;36
142;TXB073;5
146;TXB093;0
148;TXB132;406
149;TXB133;12
150;TXB171;1
151;TXB172;9
152;TXB173;25
153;TXB174;15
154;TXB189;0
156;TXB205;0
157;TXB206;0
1965;TXB211;53
160;TXB216;0
165;TXB271;0
166;TXB280C;26
168;TXB284;84
169;TXB293;386
172;TXB315;0
173;TXB316;0
175;TXB389;48
176;TXB394;1
177;TXB422;1
181;TXB497;38
182;TXB498;0
183;TXB561;0
186;TXB565;0
187;TXB592;0
188;TXB603;0
190;TXB644;0
192;TXB646;19
196;TXB662;0
197;TXB664;0
199;TXB667;0
205;TXB756;10
208;TXB801;0
211;TXB821;46
212;TXB826;13
213;TXB827;56
214;TXB828;0
215;TXB849;38
219;TXB906;2
220;TXB908;0
223;TXC419;0
224;TXC494;121
225;TXC495;200
227;TXC842;1
229;TXC861;0
232;TXD484;92
238;TXF359;431
240;TXF426;0
243;TXF637;50
246;TXF748-А;0
249;TXF837;35
250;TXF838;16
251;TXM434;0
253;TXP001;73
254;TXP066;41
257;TXP082;494
258;TXP226;2
260;TXP384;0
262;TXP485;160
265;TXP786;1
269;TXR141;0
270;TXR371;5
272;TXR606;5
287;YHW009;0
1898;А7031;0
1902;А7034;0
1905;А7037;3
1909;А7100;0
1713;А7300;0
1910;А7305;0
1913;А7306;3
1714;А7309;8
