id;йНД;НЯРЮРНЙ;яЙКЮД
1948;977;1082;3
16;2170;0;3
17;2402;0;3
18;2406;3;3
19;2408;3;3
20;2410;26;3
21;2412;25;3
22;2415;0;3
24;2451;0;3
1956;BS13-002;1;3
1724;C080;2;3
1885;D0440;0;3
1823;D1101;44;3
1824;D1303;50;3
1825;D1505;61;3
1826;D1801;100;3
1827;D3012;60;3
1828;D5080;40;3
1829;D7010;4;3
1830;D7012;101;3
1831;D7042;39;3
1845;D7082;20;3
1833;D7162;26;3
1834;D7164;33;3
1835;D7280;18;3
1836;D7282;43;3
1837;D7368;8;3
1838;D7398;13;3
1839;D7402;12;3
1840;D7550;11;3
1700;D7702;3;3
1701;D7900;0;3
1841;D7968;8;3
1842;D7972;11;3
1702;D7982;0;3
1703;D8330;4;3
1843;D8340;3;3
1844;D8546;4;3
1752;DF701012019;0;3
1749;DF701012036;0;3
1750;DF701012049;1;3
1753;DF702012019;1;3
1748;DF702012025;0;3
1755;DF702012036;2;3
1754;DF702012100;3;3
1747;DF703012025;0;3
1751;DF703012049;0;3
70;DF701010048;0;3
71;DF701012020;0;3
72;DF701012100;0;3
73;DF701015025;0;3
78;DF702015050;0;3
1756;EC170;6;3
1757;EC201;0;3
1758;EC215;0;3
2018;EC219;2;3
2019;EC220;0;3
2020;EC221;4;3
1759;EC230;3;3
1760;EC232;0;3
1761;EC234;0;3
1762;EC236;8;3
1763;EC240;6;3
1764;EC331;5;3
92;F11049;8;3
1690;GP475;12;3
1684;GP493;18;3
1683;GP497/2;33;3
1685;GP498;0;3
1686;GP498/2;0;3
1692;GP510;0;3
2025;GPH3018;1;3
1689;GW218-74;42;3
1949;GW218-90;25;3
1680;GW218-91;74;3
1681;GW218-92;37;3
1682;GW218-97;37;3
1676;GWL-0010;24;3
1679;GWL-0012A;0;3
1962;GWL-0012B;8;3
1963;GWL-0012C;9;3
1957;GWM5032;0;3
1693;GWM5033;0;3
1958;GWM5034;5;3
1953;GWM5046;6;3
1954;GWM5047;5;3
2026;GWM6603;0;3
111;K00203;239;3
115;K00204;0;3
116;K00208;267;3
1674;K0201;17;3
119;K0202-1;671;3
120;K0202-2;1;3
121;K0204CE;0;3
1694;MC098;0;3
1687;MC107;2;3
1959;MC118;0;3
1950;MC122;0;3
1955;MC136;0;3
1960;MC150-25B;1;3
1961;MC175-19;0;3
1675;P1005;0;3
1849;P4775;0;3
1846;P7012;0;3
1860;PC782;0;3
1861;PC844;0;3
1862;PC846;0;3
1863;PC861;0;3
1887;PD7048;1;3
1889;PD7049;0;3
1890;PD7051;0;3
1888;PD7061;0;3
1891;PD7062;0;3
1892;PD7067;9;3
1893;PD7068;5;3
1780;PRO105-2;1;3
1781;PRO107;0;3
1782;PRO108;0;3
122;R0445;2;3
123;R09012;0;3
127;S01002;91;3
1695;SB-13-02;0;3
1696;SB-19-03;4;3
1697;SB-25-03;0;3
1677;SF-398A;3;3
1678;SF-398б;0;3
1947;SF-399;7;3
2024;T6246;22;3
130;TKF358;43;3
131;TKF361;8;3
133;TXB021;4;3
134;TXB022;0;3
135;TXB038;23;3
136;TXB039;6;3
138;TXB045;6;3
140;TXB070;74;3
141;TXB071;36;3
142;TXB073;5;3
146;TXB093;0;3
