id;Код;остаток;Склад
1476;РС900;0;3
1477;РС901;0;3
1488;РС912;0;3
1894;РС914;1;3
1492;РС916;0;3
1517;РТ210;0;3
1518;РТ211;0;3
1521;РТ303;13;3
1523;РТ305;0;3
1526;РФ103;0;3
1698;С039;0;3
1537;С059;0;3
1540;С066;0;3
1699;С068;0;3
1872;С204;0;3
1740;СА470;0;3
1741;СА625;0;3
1867;СВ222;2;3
1789;СВ230;0;3
1871;СВ231;0;3
1868;СВ240;0;3
1738;СК475;3;3
1739;СК537;0;3
2081;СРС 007;0;3
1559;СРС005;0;3
1563;ТР104;43;3
1565;ТР107;0;3
1566;ТР108;0;3
1567;ТР109;106;3
1568;ТР110;0;3
1569;ТР111;124;3
1570;ТР112;42;3
1572;ТР114;81;3
1573;ТР115;2;3
1574;ТР151;5;3
1575;ТР152;0;3
1576;ТР153;0;3
1577;ТР154;4;3
1578;ТР155;0;3
1579;ТР156;0;3
1580;ТР157;18;3
1581;ТР158;32;3
1583;ТР160;0;3
1584;ТР161;138;3
1585;ТР162;378;3
1586;ТР163;96;3
1587;ТР164;0;3
1964;ТР165;209;3
2027;ТР166;0;3
1590;ТР705;3;3
1592;ТР707;39;3
1593;ТР708;20;3
1594;ТР709;40;3
1942;ТС580;17;3
1691;ТС581;9;3
1595;ТС610;35;3
1596;ТС620;12;3
1597;ТС630;10;3
1598;ТС641;2;3
1599;ТС642;2;3
1600;ТС643;0;3
1972;ТС651;0;3
1602;ТС652;2;3
1603;ТС653;22;3
1604;ТС661;0;3
1605;ТС662;1;3
1606;ТС671;0;3
1607;ТС681;2;3
1608;ТС682;3;3
1610;ТС710;75;3
1611;ТС720;6;3
1616;ТС730;15;3
1617;ТС741;15;3
1618;ТС742;22;3
1620;ТС752;9;3
1621;ТС761;1;3
2073;ТС771;1;3
2074;ТС772;0;3
1628;ТС831;2;3
1629;ТС832;9;3
1630;ТС841;0;3
1631;ТС842;0;3
1632;ТС851;0;3
1634;ТС861;0;3
1946;ТС862;0;3
1638;ФДЖ;0;3
1641;ФДО;0;3
1642;ФДС;7;3
1643;ФОЖ;18;3
1645;ФОК;1;3
1646;ФОС;15;3
596;Р4066;0;3
598;Р4070;1;3
603;Р4110;0;3
606;Р4114;8;3
607;Р4115;0;3
610;Р4120;1;3
613;Р4206;1;3
614;Р4210;0;3
615;Р4213;2;3
1847;Р4320;46;3
621;Р4350;27;3
1848;Р4512;27;3
1926;Р4515;24;3
643;Р4810;35;3
2032;Р4811;9;3
649;Р4830;0;3
650;Р4840;0;3
1981;Р5080;87;3
1850;Р5300;39;3
1851;Р5310;5;3
1852;Р5320;82;3
664;Р5510;3;3
665;Р5512;2;3
667;Р5516;23;3
670;Р5540;2;3
671;Р5541;0;3
672;Р5542;1;3
1853;Р5543;19;3
683;Р5602;12;3
684;Р5604;5;3
685;Р5606;29;3
693;Р5720;39;3
696;Р5726;2;3
701;Р5800;1;3
