Артикул;Название;Эффект;Видео
БСП0510012;Свадебный букет ;"Золотые ивы с красным мерцанием; серебряные пальмы с зеленым жемчужинами; красные хризантемы; разноцветные мерцающие пионы; серебряные мерцающие облака с желтыми звездами; золотая парча в мелком треске. Финал – трещащие облака с разноцветными жемчужинами.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GnK5ws1Zu1g"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСП0610012;Остров пасхи ;"Разноцветные мерцающие пионы; пальмы в красном мерцание; золотая парча с синими жемчужинами; красные хризантемы с зеленым блеском; трещащие пальмы и красные звезды. Финал – золотой трещащий букет.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/enqsxdLiiTo"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСП0130008;Галантный век ;"Батарея салютов 300 зарядов калибра 0,8"" Поочерёдная смена эффектов: разноцветные хризантемы; мерцающие пионы; золотые ивы; трещащие облака; свистящие змейки.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2-0uMOXoSgk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСП0230010;Испаньола;"Разноцветные пионы; серебряные хризантемы с красными звездами; золотая парча  в зеленом мерцании;  мерцающие сферы; трещащие цветы. Финал - разноцветные пионы переходят в трещащее облако.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZxC8xY_ibRk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСП0204918;Танжер ;"Разноцветные стробирующие сферы; Золотые пальмы; трещащие ромашки. Финал: облако из множества цветных звезд и переливающихся жемчужин.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-DgiUlQn6Oc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСР0203008-12;Альбатрос ;"Золотые змейки; серебряные пионы с красными звездами; золотая ива с синими жемчужинами; золотые пальмы с зелеными звездами; золотые трещащие облака с пурпурными жемчужинами; ивы с мелким треском. Финал – парча с серебряным блеском.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LBOYvb8ukqs"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСР0306808-12;Ирбис ;"Красно-белые мерцающие сферы; золотые ивы с синими жемчужинами; серебряные пальмы с красными блестками; трещащие пальмы с серебряным блеском; белые хризантемы с зеленым блеском; свист. Финал – букет из трещащих ив.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/EhJ4gFhZ0Xo"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСК0108110;Крестоносец ;"Красные или зеленые пионы с мерцанием; красные или зеленые пионы с золотым треском; букет из золотых ив с красным или зеленым блеском; сине-белые мерцающие пионы; серебряные рыбы и синие жемчужины. Финал - золотое трещащее облако.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2uOyF6GIpD0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСК0104608-10-12;Экскалибур ;"Красные или зеленные пионы с треском; серебряные рыбки с синими жемчужинами; золотой треск; разноцветные хризантемы с серебряным блеском; золотые ивы. Финал – серебряное мерцающее облако.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aQwG7hsKHuk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСК0236910-12;Пальмира ;Более 20 эффектов.;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vn5AsiJd2Qw"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСК0105410;Грезы дриады ;"Разноцветные пауки с блеском; водопады из белых мерцающих звезд с красными жемчужинами; золотые трещащие облака с разноцветными жемчужинами. Финал - золотая мерцающая парча.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2ZtL-daufdc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСК0105310;Маэстро ;"Золотые пауки с золотым блеском; трещащее облако с ярко-красными звездами; красно-синие пионы; трещащее облако с ярко-зелеными звездами.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Gt3y_YZpNnw"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСК1103210;Беркут ;"Разноцветные шуршащие пауки; бело-золотые ивы; мерцающие пальмы с синими или красными мерцающими жемчужинами. Финал - букет из золотых шуршащих цветов.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JVAw6M60XAI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСП0630010;Колизей ;18 эффектов;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mcIxSW3RqSg"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСК0627012;Карелия ;8 эффектов;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vK6kzdBuPxA"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСП1704910;Ассоль ;"Золотые ивы в зеленом блеске; пурпурные хризантемы с серебряным треском; шуршащие пауки и синие жемчужины; бело-красные мерцающие облака; золотая парча; букет из золотых и серебряных ив. Финал - серебряные вертушки раскрываются золотыми трещащими облаками.";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KuWr5g_GrxI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
БСП0502512;Какаду ;5 эффектов;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/nyLCfzKcxGk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
BS13-002;"Golden collection (1,2"" х 13)";Серебряный фонтан с треском и разноцветными огнями, золотая пальма с серебряными стробами, красно-зеленый пион с переходом в трещащие хризантемы, золотая трещащая пальма;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/v1bbfOCp-Eg"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GP493;Word    (0,8''x 19);Красная волна с белыми стробами, зеленая волна с белыми стробами, пурпурная волна с белыми стробами;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/r0FaF3rLmAE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GP497/2;We are the night  (0,8''x 16);Красный пион с белым мерцанием, зеленый пион, пурпурный пион с мерцанием, трещащие хризантемы.;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/1GkHK2afG9I"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
GP498;Dream  (0,8''x 25);Белый пион с треском, зеленыепион с треском, красный пион с треском.;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/M9volnN8jJ8"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
