Артикул;Номер. Наименование;Ед. изм.;Кол-во ед.изм.;Склад
K0202-1;K0202-1 К0202Петарды (1уп-20шт.) ТЕРОЧНЫЕ;бл.;5;3
Р1600;Р1600 Корсар 6 (O20 мм х 78 мм);уп.;14;3
Р1106;Р1106 Корсар-1 (20х12х60);бл.;8;3
Р1710;Р1710 Лимонка дымовая с чекой (ассорти: красный, синий,;уп.;9;3
РС123;РС123 Корсар-3 (3 баха терочный);бл.;13;3
K00208;K00208 Ахтунг (уп. 3 шт.) ТЕРОЧНЫЕ;уп.;26;3
K00204;K00204 Ахтунг (уп. 12 шт.) ТЕРОЧНЫЕ;бл.;4;3
TXP082;TXP082 ПЕТАРДЫ U2601 Душки (бертолетова соль);бл.;4;3
TXP384;TXP384 Трескучий гром (уп. 20 шт.) ФИТИЛЬНЫЕ;уп.;20;3
Р1082;Р1082 Корсар 8 (оформлен для штучной продажи);уп.;8;3
Р2010;Р2010 Пугач (25х12х12);бл.;16;3
РС220;РС220 Ариэль (набор ракет, шесть разных эффектов);уп.;16;3
Р3200;Р3200 Акробат;уп.;20;3
РС149;РС149 Корабль пришельцев (летающая вертушка);уп.;4;3
Р3020;Р3020 Мотылек (16х10х12);бл.;9;3
Р3110;Р3110 Лунный цветок (уменьшена фасовка);уп.;6;3
РС144;РС144 Майский жук (летающая вертушка);уп.;2;3
Р6780;"Р6780 Торт с сюрпризом (фонтан + 12 выстрелов; 4 C50:D85эффекта";шт.;2;3
Р4114;"Р4114 Весёлый вулкан (конус 11"")";уп.;1;3
Р4213;Р4213 Чародей НОВЫЙ ЭФФЕКТ;шт.;5;3
Р4320;Р4320 Шахерезада;шт.;1;3
Р4512;Р4512 Золотой скарабей;шт.;1;3
Р6720;Р6720 Салют-проказник (фонтан + 6 выстрелов 3 эффекта);шт.;4;3
Р6750;Р6750 Самоцветы (фонтан + бурачный салют);шт.;2;3
РС171;РС171 Зашибись (фонтан + 12 залпов салюта);шт.;2;3
РС172;"РС172 салют+фонтан ""Лакшери"" 3 фонтана + 12 залпов";шт.;1;3
РС680;"РС680 Неваляшка (1,75""x 6)";шт.;3;3
РС679;"РС679 Ванька-Встанька (1,5""х 6 шаров с разн. эффектами)";шт.;1;3
ТР107;"ТР107 Хлопушка ""Супер"" с сюрпризом";уп.;18;3
ТР108;"ТР108 Хлопушка ""Супер с серпантином""";уп.;20;3
Р9100;"Р9100 Праздничная (100 см; цв. бум. серп.)";шт.;5;3
Р9034;"Р9034 Праздничная (30 см; конф + ден.купюры)";шт.;5;3
Р9064;"Р9064 Праздничная (60 см; конф + ден.купюры)";шт.;5;3
Р9020;"Р9020 Пружинная хлопушка (21 см; метал. конфетти)";шт.;20;3
Р9062;"Р9062 Свадебная (60 см; бум. сердца)";шт.;9;3
Р9063;"Р9063 Свадебная (60 см; Сердца + лепестки роз)";шт.;8;3
Р5604;"Р5604 Баккара (1,0""х 8)";уп.;2;3
Р5542;"Р5542 Ламбада (0,8""х8) НОВЫЙ ЭФФЕКТ";уп.;3;3
Р5606;"Р5606 Примадонна (1,0""х 8)";уп.;3;3
Р5602;"Р5602 Стрелец (1,0""х 8)";уп.;2;3
РС517;"РС517 Вишнёвое варенье (1,0""х 5)";уп.;7;3
РС508;"РС508 Дамский каприз (0,8""x 5)";уп.;2;3
РС554;"РС554 Зимние потешки (0,8""х 6)";уп.;2;3
РС532;"РС532 Золотая рыбка (1,2""х 5)";шт.;6;3
РС742;"РС742 Ледяные узоры (1,0""х 48) МОДУЛЬ";шт.;2;3
РС533;"РС533 Мир фиалок (1,2""х 5)";шт.;5;3
РС521;"РС521 Мишура на ура (1,0""x 8)";уп.;3;3
РС507;"РС507 На абордаж (0,8""x 5)";уп.;3;3
РС520;"РС520 Новогодний оливье (1,0""x 8)";уп.;2;3
РС542;"РС542 Праздник ёлки (1,5""х6)";шт.;4;3
РС519;"РС519 Снежный вальс (1,0""х6)";уп.;3;3
РС500;"РС500 Танец огня (0,8""x 8)";уп.;2;3
РС501;"РС501 Фуэтэ (0,8""x 8)";уп.;2;3
РС572;РС572 Гончие псы (связка римских свечей);шт.;3;3
ФДБ;ФДБ Факел дымовой белый;уп.;2;3
ФДЖ;ФДЖ Факел дымовой желтый;уп.;1;3
ФДК;ФДК Факел дымовой красный;уп.;1;3
ФДО;ФДО Факел дымовой оранжевый;уп.;2;3
ФДС;ФДС Факел дымовой синий;уп.;2;3
ТР151;ТР151 Бенг. свечи 400 прямоугольная;уп.;10;3
ТР155;ТР155 Бенг. свечи 170;уп.;175;3
TXB093;"TXB093 ROYAL, 50 сек. (1,20""х25)";шт.;2;3
А7426;"А7426 Лебединное Озеро (1,25""х46)";шт.;1;3
А7424;"А7424 Ящик пандорры (1,25""х37)";шт.;2;3
А7408;"А7408 Любит не Любит (1,25""х36)";шт.;2;3
РС703;"РС703 Одноклассники! (1,0""х 12)";шт.;1;3
Р7360;"Р7360 12 месяцев (1,25""х 16)";шт.;1;3
Р7513;"Р7513 Амазонка (1,0"" х 49)";шт.;3;3
